sagoNo,sido,sigungu,dong,addr,sagoLat,sagoLon,sagoDate,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,no
20200304,서울특별시,마포구,대흥동,서울특별시 마포구 대흥동 서강대길40,37.5491900433435,126.941169713609,20200818,0.20,0.20,6.00,기타," ○ 지하시설물관계자(하수도, 가스, 전력) 점검결과 이상없음
 ○ 굴착조사결과 뚜렷한 원인을 찾을 수 없었음",0,0,0,복구완료,"
 ○ 지반침하 예방을 위해 소일시멘트(시멘트+자갈+모래) 채움 및 다짐",0,20200818,00010101,1
20200305,서울특별시,마포구,상수동,서울특별시 마포구 상수동 309-18,37.5477621148427,126.922682813858,20200724,2.60,1.00,0.30,기타,엘리베이터 설치 후 부실로 추정,0,0,0,복구완료,원인자 복구,0,20200724,00010101,1
20210003,서울특별시,강남구,삼성동,서울특별시 강남구 삼성동 160-21(봉은사로 104길 10),37.5137333671003,127.061880514951,20210330,1.00,1.00,1.50,,통신관 아래 공동발생 부분  큰돌 사이 빈 공간이 있어 동공 발생,0,0,0,복구완료,하수시설물 보수공사(연간단가)에서 긴급 공동부분을 굴착하여 현장 확인 결과 큰돌 사이 공극으로 되메우기 후 포장 복구완료,0,20210331,00010101,1
20210004,서울특별시,송파구,마천동,서울특별시 송파구 마천동 마천로61다길 25,37.495195781992,127.151505234448,20210331,0.50,0.50,1.00,,맨홀 하부구체 파손,0,0,0,복구완료,"맨홀바닥 몰탈타설 및 인버트 설치
4월5일 맨홀개량 예정",0,20210331,00010101,1
20210005,서울특별시,강남구,압구정동,서울특별시 강남구 압구정동 500(올림픽대로 공항방향 성수대교 밑단 약 200m 5차로),37.5334843256639,127.032940192128,20210309,2.50,2.10,1.10,,"○ 하수관(D=1200mm) 이음부 이격 및 노후 파손 
   ① 맨홀→우수토실로 연결된 하수관 이음부 이격 및 노후 파손으로 공동발생
   ② 기존 보수보강을 시행한 하수관로(올림픽대로 횡단)에 시공된 라이닝의 변형이 있어 기존 하수관과 라이닝 사이로 하수가 흘러 기존관의 이음부 사이로 하수 유출
○ 2021. 3월중 : 굴착공사가 불가하여 비굴착 공법으로 보수방안 강구
                 (올림픽대로, 수문구조물, 광역상수도관(D2500mm) 저촉 등)
○ 2021. 4월중 : 정비완료 예정
○ 소요예산 : 100백만원(서울시 물재생계획과 긴급복구비 요청)
                       D=1200mm, L=100m(2열). 맨홀4개소 보수보강",0,0,0,복구완료,공동부분 되메우기 및 다짐 후 복구 ,0,20210309,00010101,1
20210006,서울특별시,송파구,거여동,서울특별시 송파구 거여동 33-16,37.4922453505205,127.150374037277,20210407,0.70,0.70,1.90,,하수맨홀 노후로 인한 하부 구체파손,0,0,1,복구완료,맨홀내부 응급보구 및 동공 되메우기 완료,0,20210407,00010101,1
20210010,서울특별시,강남구,논현동,서울특별시 강남구 논현동 212-16(학동로 34길 21),37.5132364705129,127.033846913325,20210608,1.00,1.50,1.00,,하수관 노후화로 인한 동공발생 추정,0,0,0,복구완료,강남구청 치수팀에서 진행하는 신논현역 및 학동역 주변 하수관로 개량공사 구간으로 도급업체에서 금일 복구 할 예정 ,0,20210609,00010101,1
20210052,서울특별시,중구,을지로1가,서울특별시 중구 을지로1가 140-1(숭례문방향 2차로),37.5654117131996,126.981899811584,20210805,0.10,0.10,1.50,기타,폐하수관 존치 및 폐기물 매립으로 인한 지반침하,0,0,0,복구완료,폐하수관 주변 응급조치(시멘트 보강 및 임시 아스콘포장),0,20210806,00010101,1
20210055,서울특별시,강동구,암사동,서울특별시 강동구 암사동 527,37.5547792003316,127.128553121719,20210704,1.10,0.60,1.50,,"호우 등으로 인해 지하철 복공판 밑 토류벽으로 토사가 유실, 지반 침하로 인한 하수흉관(900mm)과 맨홀간의 접합부가 파손(탈락)되어 동공이 발생된 것으로 사료",0,0,1,복구완료,하수관(900mm) 맨홀 접합부 임시복구 완료,0,20210704,00010101,1
20210059,서울특별시,성북구,안암동5가,서울특별시 성북구 안암동5가 146-31,37.5861402689512,127.02855788551,20210727,1.00,1.00,0.80,,차량진동에 의한 상수도관(D 150m) 누수,0,0,0,복구완료,21.07.28(수) 01:40 상수도관 긴급 누수복구 시행 및 도로포장 완료,0,20210728,00010101,1
