saupNo,saupNm,proStage,maxDigDepth,no
20220034,길치근린공원 내 복합문화체육센터 건립공사,제출완료,17.88,3664
20220035,판교 제2테크노밸리 E4-1BL 신축공사,제출완료,19.26,3665
20220036,청담동1번지 복합시설 신축공사 ,제출완료,28.45,3666
20220037,의왕복합몰B부지 신축공사(가칭),제출완료,19.16,3667
20220038,오금지구 근린생활시설 신축공사,제출완료,15.16,3668
20220039,부안군 폐기물처리시설 설치사업,제출완료,16.00,3669
20220040,경기도 안양시 동안구 관양동 954-11번지 외 2필지 지식산업센터 신축공사,제출완료,18.86,3670
20220041,중구남산동2가6-1번지 근린생활시설신축공사,제출완료,23.30,3671
20220042,㈜아하정보통신 R&amp;D센터 신축공사,제출완료,13.90,3672
20220043,서울시 동작구 사당동 155-4번지 공동주택 신축공사,제출완료,13.51,3673
20220044,안양석수 행복주택 복합개발사업 소규모 지하안전영향평가용역,사업 등록 완료,10.54,3674
20220045,인천시 중구 운서동 3093-5   오피스텔 신축공사,제출완료,32.26,3675
20220046,서울특별시 종로구 종로6가 주상복합 신축공사,제출완료,19.79,3676
20220047,서울시 50플러스 동부캠퍼스 건립사업,제출완료,16.46,3677
20220048,"수원 고등지구 C6-1,5블럭 오피스텔 신축공사",제출완료,18.79,3678
20220049,"효제동 315-1,6 오피스텔 신축공사",제출완료,13.40,3679
20220051,대구광역시 수성구 두산동 1-1번지 근린생활시설 신축공사,제출완료,19.90,3680
20220052,부천지역 전기공급시설 전력구공사(도당S/S 배전인출),제출완료,29.95,3681
20220053,"서교동 395-45번지 근린생활시설, 의료시설 신축공사",제출완료,18.89,3682
20220054,포항시 북구 죽도동 주상복합 신축사업,제출완료,17.50,3683
20220055,영등포구 당산동3가 550번지 지식산업센터 신축공사,제출완료,31.72,3684
20220056,동대문구 전농동 620-56번지 신축공사,제출완료,26.60,3685
20220057,동대문구 전농동 620-60번지 외 4필지 신축공사,제출완료,25.61,3686
20220058,금정동 78-2외 4필지 오피스텔 신축공사,제출완료,19.66,3687
20220059,위례지구 주차1BL 신축공사,제출완료,26.44,3688
20220060,(재협의)달서구 본동 새동산 소규모재건축 주상복합 신축공사 소규모 지하안전영향평가,제출완료,18.93,3689
20220061,성북동 168-276외 공동주택 신축공사 소규모 지하안전영향평가(2차 재협의),제출완료,19.90,3690
20220062,여수시 학동 주상복합빌딩 신축공사,사업 등록 완료,19.90,3691
20220063,통영 죽림 주상복합빌딩 신축공사,제출완료,16.85,3692
20220064,여수시 하수처리수 재이용 민간투자사업,제출완료,11.25,3693
20220065,용산구 한남동 W빌딩 신축공사,제출완료,31.89,3694
20220066,위례 154kV 성남T/L 지장송전선로 이설공사,제출완료,45.60,3695
20220068,힐스테이트 원주 레스티지 신축공사,제출완료,28.38,3696
20220069,대전 동구 대성동 산내지역주택조합 공동주택 신축공사,제출완료,18.71,3697
20220070,점동지구 농촌용수개발사업,사업 등록 완료,8.10,3698
20220071,순화 우수저류시설 설치사업,제출완료,13.20,3699
20220072,대구광역시 두류동 공동주택(아파트) 신축공사,제출완료,12.10,3700
20220073,고리본부 비상대응거점 신축공사,제출완료,21.50,3701
20220074,시흥장현 업무시설용지 10블럭 업무시설 신축공사,제출완료,38.76,3702
20220075,상암동 6-1번지 업무시설 신축공사,제출완료,14.40,3703
20220076,이천시 안흥동 3BL 주상복합 신축공사,제출완료,26.43,3704
20220077,오산시 궐동 609-6번지 오피스텔 신축공사,사업 등록 완료,19.79,3705
20220078,인천 송도 G5-4블럭 주상복합 신축공사,제출완료,14.65,3706
20220079,인천 송도 G5-5블럭 주상복합 신축공사,제출완료,13.99,3707
20220080,제주 MICE 다목적 복합시설 확충사업,제출완료,12.91,3708
20220081,인천도시철도 1호선 인천대입구역 출입구(5번) 신규설치사업,제출완료,14.41,3709
20220082,양정산호아파트 소규모재건축정비사업,제출완료,17.91,3710
20220083,방이동 오피스텔 신축공사,제출완료,14.89,3711
20220084,"와동동 1438, 1438-1 월드로데오 신축공사",제출완료,15.06,3712
20220085,마포로 1구역 58-2지구 도시정비형 재개발사업,제출완료,23.24,3713
20220086,청라국제도시 B3-1블럭 업무시설 신축공사,사업 등록 완료,28.30,3714
20220087,남양주 퇴계원 주상복합아파트 개발사업,정보수정중,27.87,3715
20220088,강일동 720번지 근린생활시설 신축공사,제출완료,19.49,3716
20220089,신안산선 복선전철 (3-1)공구 작업구#6 변경 설계,제출완료,62.00,3717
20220090,(재협의)부산광역시 부산진구 부전동 536-8번지 신축공사,제출완료,36.45,3718
20220091,남양주 호평지구 주상복합 신축공사 소규모지하안전영향평가 용역,제출완료,19.80,3719
20220092,강남구 삼성동 썬타워Ⅲ 신축공사,제출완료,19.73,3720
20220093,이천시 군량리 물류센터 신축공사 소규모 지하안전영향평가,사업 등록 완료,12.26,3721
20220094,경기도 화성시 남양읍 물류센터 신축공사 ,제출완료,19.77,3722
20220095,천안시 성거읍 신월리 275-1번지 일원 공동주택 신축공사,제출완료,14.00,3723
