saupNo,saupNm,proStage,maxDigDepth,no
20180001,고색동 1181-3번지 근린생활시설 신축공사,협의요청,16.54,1
20180002,제주 연동 주상복합PJ,보완회신,21.72,2
20180044,천안 청수지구 548-1외 1필지 복합업무시설 신축공사,승인완료,16.00,3
20180045,권선동 1011-15 오피스텔 신축공사,협의요청,16.60,4
20180046,인계동 1036-13번지 도시형생활주택 신축공사,승인요청,17.60,5
20180047,김포시 구래동 6878-2 업무지구 신축공사,제출완료,19.84,6
20180048,성남 판교대장 도시개발구역 A11BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,19.86,7
20180049,성남 판교대장 도시개발구역 A12BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,15.69,8
20180050,성남 판교대장 도시개발구역 A1BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,14.20,9
20180051,성남 판교대장 도시개발구역 A2BL 공동주택 신축공사 소규모 지하안전영향평가,협의요청,15.30,10
20180052,경산시 중방동 897 주차전용건축물 신축공사,협의내용반영확인,19.50,11
20180053,위례택지개발 사업지구 C2-7블럭 복합시설 개발사업,협의요청,17.61,12
20180054,명동 센터포인트 복합시설 개발사업,승인요청,19.67,13
20180055,수성구 상동 근린생활시설 및 업무시설 신축공사,제출완료,19.95,14
20180056,성남 고등지구 자족 및 판매시설 1BL 지식산업센터 신축공사,협의요청,23.50,15
20180059,여수덕충동2037-2오피스텔신축공사,보완요청,19.75,16
20180060,속초시 영랑동 생활숙박 신축공사,검토 및 현지조사 의뢰,17.26,17
20180061,용호동 주상복합 신축공사,제출완료,14.19,18
20180062,연산동 기업형 임대주택 개발사업,제출완료,41.00,19
20180063,구례군 백련리 공동주택 신축공사,정보수정중,23.67,20
20180064,"성남 판교 알파돔 6-1, 6-2블럭 개발사업",협의요청,34.00,21
20180065,속초시 교동 986-3번지 일대 생활숙박시설 신축공사,검토 및 현지조사 의뢰,19.86,22
20180066,신안동 국제미소래아파트 신축공사,승인요청,11.90,23
20180067,제주시 연동 오피스텔 신축공사,제출완료,19.40,24
20180068,대구광역시 달서구 감삼동 와이즈 타워 주상복합 신축공사,승인요청,18.35,25
20180069,시흥 장현지구 6BL 복합상업시설 신축공사,협의요청,16.51,26
20180070,대치동 1008 복합시설 신축공사,제출완료,17.18,27
20180071,성남 판교 대장지구 A3BL 공동주택 신축공사,협의요청,11.26,28
20180072,죽전역 동화 I - WISH 신축공사,보완요청,15.44,29
20180073,아산시 온천동 공동주택 복합빌딩 신축공사,사업 등록 완료,15.00,30
20180074,"성남 판교대장 도시개발구역 A7, 8BL 공동주택 신축공사",협의요청,18.10,31
20180075,진해동부맑은물재생센터 증설사업(2단계),제출완료,18.75,32
20180076,"부천옥길지구 자족3-2, 3-3 지식산업센터 신축공사",승인요청,14.06,33
20180077,아산 탕정지구 5-1BL 오피스복합빌딩 개발PJT,협의결과통보,16.43,34
20180078,부산 수영구 민락동 D7-10~12 복합시설 개발계획,보완요청,18.21,35
20180079,나라키움 서대문세무서 개발사업,협의요청,14.00,36
20180080,성남 판교대장 도시개발사업지구 A6BL 공동주택 신축공사,협의요청,15.06,37
20180081,동구 신천동 근린생활시설 및 오피스텔 신축공사,승인요청,28.35,38
20180082,대구국가산업단지 A2-1블럭 대방 노블랜드 아파트 신축공사,승인요청,14.70,39
20180083,제주시 노형동 숙박시설 신축공사,검토결과 회신,10.70,40
20180085,강릉 사천항 생활형숙박시설 개발사업,검토 및 현지조사 의뢰,13.75,41
20180086,춘천농협 NH타운 개발사업,승인요청,15.91,42
20180087,이천하이닉스 16동 반도체공장외 2건,승인요청,15.00,43
20180088,마포로1구역 제12.13지구 재개발사업,협의요청,25.25,44
20180089,대구 신암동 에일린의뜰 신축공사,보완요청,14.45,45
20180090,아산탕정지구 3-G1블럭 도시형생활주택 신축공사,검토 및 현지조사 의뢰,14.36,46
20180092,경기도 성남 고등 C-1BL 주상복합 신축공사,협의요청,11.90,47
20180093,남구B-14구역 주택재개발정비사업,보완요청,17.70,48
20180094,경기도 성남 고등 C-2BL 주상복합 신축공사,협의요청,11.70,49
20180095,경기도 성남 고등 C-3BL 주상복합 신축공사,협의요청,11.30,50
20180096,김포한강신도시 MS-11-3BL 복합시설 신축공사,협의요청,23.70,51
20180097,역삼동790-9 주상복합시설 신축공사,협의요청,19.05,52
20180098,서울특별시 강남구 대치동891-63번지 오피스텔신축공사,제출완료,14.61,53
20180099,서울특별시 강남구 대치동 891-38번지 오피스텔신축공사,제출완료,14.61,54
20180100,대구 도시철도1호선 하양연장건설 지하안전영향평가용역,제출완료,17.59,55
20180101,수락산외 1역 승강편의시설 설치공사,승인요청,14.34,56
20180102,경기도 안양시 호계동 949-9번지 일원 오피스텔 신축공사,제출완료,21.46,57
20180103,오산 세교택지개발지구 자족3BL 지식산업센터 신축공사,정보수정중,14.20,58
20180104,"하남 미사지구 자족시설용지 12-2,3BL 지식산업센터 신축공사",정보수정중,19.74,59
20180105,여수시 학동 장미아파트지역주택조합아파트 신축공사,제출완료,17.86,60
20180106,화성동탄2신도시 일상 11BL 복합시설 신축공사,제출완료,36.00,61
20180107,화성동탄2신도시 일상 12BL 복합시설 신축공사 지하안전영향평가,제출완료,36.05,62
20180108,논현동 236-7 업무시설,제출완료,19.90,63
20180109,플러스시네마 신축공사,사업 등록 완료,15.90,64
20180110,경기도 부천시 원미동 지식산업센타 신축공사,제출완료,19.78,65
20180111,심곡동 아파트 및 근린생활시설 신축공사,제출완료,13.00,66
20180112,안양동 199번지 지식산업센터 신축공사,승인요청,18.46,67
20180113,성남고등지구 자족용지 지식산업센터 신축공사,협의요청,20.83,68
20180114,구포3차 봄여름가을겨울 아파트 신축공사,보완요청,25.00,69
20180115,용인시 수지구 풍덕천동 교육연구시설,제출완료,18.21,70
20180117,수성 범어W 신축공사,제출완료,15.40,71
20180118,안양 아이에스 비즈타워 신축공사,제출완료,15.42,72
20180119,금천구 가산동 345-24 지식산업센터 신축공사,제출완료,19.80,73
20180120,영도구 동삼하리 도시개발사업,제출완료,12.86,74
20180121,서밋 더 크로스 흥덕 복합상업시설,제출완료,19.71,75
20180122,속초시 조양동 1111-1 생활숙박시설 신축공사,협의결과통보,19.53,76
20180123,시흥 은계지구 근린생활시설 및 업무시설 신축공사,제출완료,24.45,77
20180124,울산 중앙병원 신축공사,제출완료,16.01,78
20180125,안중계통 송수관로 복선화 매설공사,제출완료,11.47,79
20180126,삼성에이아이센터(지식산업센터),사업 등록 완료,12.66,80
20180127,수원 광교 복합시설 신축공사,제출완료,19.60,81
20180128,대구 중구 동문동 오피스텔 신축공사,보완요청,19.95,82
20180129,"시흥 은계지구 업무 3-1,2 근린생활시설 및 오피스텔 신축공사",제출완료,19.35,83
20180130,인천검단신도시 AB16BL 공동주택 신축공사,제출완료,12.89,84
20180131,양산 중부동 서린 근린생활시설 신축공사,제출완료,19.75,85
20180132,암센터 소규모지하안전영향평가,검토 및 현지조사 의뢰,15.90,86
20180133,의왕시 내손동 근린생활시설 신축공사,제출완료,15.16,87
20180134,(가칭)파트너스플라자 신축공사,제출완료,35.86,88
20180135,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,평가서결재중,19.00,89
20180136,청수지구 일반상업시설 용지 CA타워 신축공사,협의결과통보,19.76,90
20180137,파주 삼융시네마,협의요청,13.71,91
20180138,"동탄신도시 인성 주상복합건축물(근린생활시설, 오피스텔)신축공사",승인요청,23.00,92
20180139,동탄2 택지개발지구 42-1 와우스퀘어1 신축공사,정보수정중,16.46,93
20180140,동탄2 택지개발지구 43-1 와우스퀘어3 신축공사,제출완료,17.06,94
20180141,동탄2 택지개발지구 43-4 와우스퀘어4 신축공사,정보수정중,17.60,95
20180142,시립 마포실버케어센터 건립공사,승인요청,12.45,96
20180143,황구지천 공공하수처리시설 신축공사,사업 등록 완료,15.00,97
20180144,죽곡1오수중계펌프장이설사업 소규모지하안전영향평가,제출완료,13.50,98
20180145,다산 진건지구 으뜸 웰타워 신축공사,제출완료,18.86,99
20180146,다산진건지구 업무3-1BL 복합시설 신축공사,제출완료,13.92,100
20180147,제주시 이도이동 1066-4 외 1필지 주상복합 신축공사,승인요청,19.40,101
20180148,호계온천 주변지구 주택재개발 정비사업(소규모 지하안전영향평가),제출완료,13.50,102
20180149,"성남 판교 알파돔 6-1, 6-2블럭 개발사업(보완)",제출완료,36.95,103
20180150,군포시 당동 주상복합 신축공사,제출완료,16.53,104
20180151,부산 서면 드림아파트 신축공사,제출완료,19.00,105
20180153,송산그린시티 폴리프라자1 신축공사,승인요청,13.68,106
20180154,안산시 수암동 500-1번지 신축공사,제출완료,12.76,107
20180155,고양시 원흥동 634-4번지 신축공사,제출완료,12.87,108
20180156,속초시 중앙동 468-17 일원 생활숙박시설 신축공사,제출완료,17.91,109
20180157,김포시 구래동 6871-57 근생 및 오피스텔 신축공사,제출완료,18.36,110
20180158,안양냉천 주거환경개선사업,협의요청,14.50,111
20180159,궁내동 258-16 자동차관련시설,협의요청,13.60,112
20180160,김포한강신도시 자족시설용지 MS10-2 근린생활시설 및 오피스텔,제출완료,19.95,113
20180161,부산 수영구 민락동 D7-10~12 복합시설 개발계획,제출완료,18.21,114
20180162,다산신도시 진건지구 자족용지 3BL 지식산업센터 신축공사,제출완료,26.00,115
20180163,블루오션별내 지식산업센터 신축공사,협의요청,17.26,116
20180164,광명사거리역 승강편의시설 설치공사(34공구) 소규모 지하안전영향평가,제출완료,11.00,117
20180165,블루오션한강 지식산업센터 신축공사,제출완료,19.06,118
20180166,먹골역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(37공구),제출완료,12.00,119
20180167,가산디지털단지역 4번 출입구 확장공사 소규모 지하안전영향평가,사업 등록 완료,12.00,120
20180168,신흥동 2506-1 오피스텔 신축공사,협의요청,17.06,121
20180169,아산 탕정지구 5-1-1BL 업무복합빌딩 개발PJT,보완요청,19.80,122
20180170,김포우리병원 증축공사,협의요청,20.61,123
20180171,용인시 역북동 746 오피스텔 신축공사,제출완료,18.60,124
20180172,상대원동 145-3번지 지신산업센터 신축공사,협의요청,18.56,125
20180173,월곡배수지 건설공사(2단계),제출완료,17.25,126
20180174,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,제출완료,19.00,127
20180175,김포 신곡6지구 복합시설 신축공사,제출완료,12.26,128
20180176,EX-Smart Center 신축공사,제출완료,24.80,129
20180177,수원역 엘리시아 주상복합 신축공사,사업 등록 완료,19.00,130
20180178,블루오션미사 지식산업센터 신축공사,제출완료,18.70,131
20180179,노형동 904-1번지 생활숙박시설 신축공사,승인요청,15.20,132
20180180,이천 마장지구 근린생활시설 신축공사,승인요청,16.71,133
20180181,동탄2 제14중 이음터 건립공사,제출완료,13.74,134
20180182,부산국제아트센터,제출완료,12.20,135
20180183,제주 중문 복합리조트[숙박시설] 신축사업,제출완료,22.00,136
20180184,송정동 문화집회시설 및 숙박시설 신축공사,승인요청,15.11,137
20180185,파주 와동동 1431-1 월드타워12차 신축공사,협의요청,15.36,138
20180186,김포풍무2지구 26블럭2로트,사업 등록 완료,16.00,139
20180187,경기도 성남시 중원구 여수동 190번지 근린상가 신축공사,협의요청,16.86,140
20180189,부산광역시 부산진구 부암동 304-14번지 일원 주상복합 신축공사,제출완료,14.90,141
20180190,덕천 2구역 재건축 정비사업,승인완료,11.70,142
20180191,파주운정 F1-P3BL 공공지원 민간임대주택,제출완료,22.96,143
20180192,여수 안산동 부영아파트 1단지 신축공사,사업 등록 완료,29.00,144
20180193,여수 안산동 부영아파트 2단지 신축공사,사업 등록 완료,25.00,145
20180194,단대오거리역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(35공구),협의요청,11.24,146
20180195,서울시 효제동 167외 1필지 오피스텔 신축공사,제출완료,15.00,147
20180196,성남중1구역 도시환경정비사업 소규모지하안전영향평가,협의요청,19.44,148
20180197,국민은행 이태원지점 신축공사,승인요청,14.62,149
20180198,국민은행 덕천동지점 신축공사,보완요청,30.39,150
20180199,홍도동1구역 주택재건축정비사업,승인요청,11.45,151
20180200,아산시 배방지구 근린&오피스텔 신축공사,제출완료,26.56,152
20180201,죽전동 주거복합 신축공사,승인요청,17.60,153
20180202,감삼동 파이오니아 주상복합 신축공사,승인요청,19.83,154
20180203,과천지식정보타운 S6BL 공동주택 건설공사,제출완료,15.11,155
20180204,속초시 청학동 도시형생활주택,보완요청,16.60,156
20180205,고촌읍 신곡리 532-124 번지 근린생활시설 및 업무시설 신축공사,제출완료,19.60,157
20180206,강릉 포남동 동도센트리움 신축공사,제출완료,16.58,158
20180207,장미구역주택재건축정비사업조합,제출완료,13.06,159
20180208,롯데인재개발원 오산캠퍼스 리빌딩,승인요청,15.80,160
20180209,대구수성알파시티 비젼디엔씨(주) 지식산업센터 신축공사,승인요청,15.00,161
20180210,창원중앙역세권 업무 1-4 000 신축공사,제출완료,17.31,162
20180211,아산 배방읍 장재리 1717 복합시설 신축공사,승인요청,19.40,163
20180212,성북동미술관 신축공사,승인요청,19.76,164
20180213,덕진동 미르오피스텔 신축공사,승인요청,13.80,165
20180214,강남구 논현동 6-1 업무시설 신축공사,제출완료,22.59,166
20180215,양산시 북부동 00주거복합 신축공사,평가서결재중,19.85,167
20180216,울산대 스마트오피스 신축 사업,제출완료,16730.00,168
20180217,평택 고덕택지지구 일상3-1-1 신축공사,승인요청,19.05,169
20180218,진주시 칠암동 490-1 신축공사,사업 등록 완료,17.00,170
20180219,진주시 칠암동 490-1 신축공사,보완요청,16.50,171
20180220,진건 상업 4-1-1 신축공사,협의요청,19.55,172
20180221,월계동 업무시설 및 근린생활시설 신축공사,협의요청,18.00,173
20180222,"진건 상업 3-4-1,2 신축공사",협의요청,19.31,174
20180223,진건 상업 3-8-2 신축공사,협의요청,19.96,175
20180224,속초시 조양동 1111-1 생활숙박시설 신축공사,검토 및 현지조사 의뢰,19.33,176
20180225,제주 중문 복합리조트(숙박시설) 지하안전영향평가 (보완),제출완료,2197.00,177
20180226,석유화학단지 완충저류시설 설치사업,제출완료,27.37,178
20180227,서대구 산업단지 복합지식산업센터 사업,제출완료,16.00,179
20180228,대저1 자연재해위험개선지구 정비사업,제출완료,13.00,180
20180229,금포지구 우신미가뷰 1단지 공동주택 신축공사 소규모지하안전영향평가,승인요청,19.00,181
20180230,명지지구 상 17-1 근린생활시설 및 오피스텔 신축공사,승인요청,19.40,182
20180231,김천시 율곡동 복합시설 신축공사,제출완료,14.15,183
20180233,해운대구 중동 1270-1번지 외 8필지 업무시설 신축공사,승인요청,19.10,184
20180234,김해 어방동 485-3번지외 퍼스트클래스오피스텔 신축공사,사업 등록 완료,1735.00,185
20180235,판교 제2테크노밸리 E2-1블록 신축공사,협의요청,36.76,186
20180236,의정부동 00주상복합 신축공사,승인요청,14.56,187
20180237,동덕여자대학교 청담동 동신빌딩 신축공사,승인요청,17.36,188
20180238,청담동 115-6외 4필지 신축공사,승인요청,19.56,189
20180239,성본산업단지 공공폐수처리시설 설치공사,승인요청,17.24,190
20180240,김포시 고촌읍 성경침례교회 신축공사,협의요청,15.60,191
20180241,역삼동 주상복합 신축공사,제출완료,19.50,192
20180242,남제주 복합화력 건설공사,제출완료,22.40,193
20180243,"분당중앙교회 현황측량, 지반조사 및 소규모 지하안전영향평가용역",협의요청,19.38,194
20180244,여수시 웅천동 1876-1번지 일원 생활숙박시설 신축공사,제출완료,16.80,195
20180247,강원도 강릉시 주문진 생활숙박시설 신축,제출완료,18.61,196
20180248,송파구 방이동 근생 및 업무시설(오피스텔) 신축공사,제출완료,19.74,197
20180249,남원시 신정동 공동주택 신축공사,제출완료,28.10,198
20180250,울산 ktx역세권 코업시티호텔 신축공사,제출완료,18.04,199
20180251,덕진동 오피스텔신축공사,제출완료,19.90,200
20180252,종광대2구역 주택재개발 정비사업 지하안전영향평가 용역,승인요청,32.48,201
20180253,"송도동 21-14,15,22,23번지 근린생활시설 신축공사",제출완료,14.06,202
20190001,서초동 1339-7번지 청화오피스텔 신축공사,승인요청,33.45,203
20190002,삼성동 20-5 근린생활시설 신축공사 소규모지하안전영향평가,승인요청,15.71,204
20190003,이태원동 181-20번지 외 근린생활시설 소규모지하안전영향평가,승인요청,13.05,205
20190004,서초구 방배동 백석대학교 서울캠퍼스 교육연구시설 신축공사,제출완료,15.00,206
20190005,농성동 417-22외 7필지 주상복합 신축공사,승인요청,10.16,207
20190006,천안시 서북구 불당동 1485번지 복합상업시설 신축공사,검토 및 현지조사 의뢰,16.30,208
20190007,강남구 개포동 1238-5번지 오피스텔 신축공사,승인요청,19.00,209
20190008,S-OIL _2 SPM Construction Project,보완요청,15.76,210
20190009,송파구 방이동 49-9 근린생활시설 및 오피스텔 신축공사,승인요청,15.93,211
20190010,이천 하이닉스 M16 비개착 공동구 설치공사,승인요청,21.74,212
20190011,"고양시 덕양구 도내동 972, 973번지 근린생활시설 및 오피스텔 신축공사",승인요청,20.70,213
20190012,"고양시 덕양구 도내동 974, 975번지 근린생활시설 및 오피스텔 신축공사",제출완료,20.70,214
20190013,수성구 욱수동 공동주택 신축공사,제출완료,13.30,215
20190014,덕신디비홀딩스신축공사,제출완료,13.64,216
20190015,광주전남 빛그린 산업단지 공공폐수처리시설 소규모지하안전영향평가용역,제출완료,13.30,217
20190016,오설록 티뮤지엄 증축 개발사업,승인요청,12.44,218
20190017,군포첨단산업단지 내 지식산업센터 신축공사,승인요청,19.15,219
20190018,연제구 연산동 00빌딩 신축공사,승인요청,13.95,220
20190019,디센터1976지식산업센터 조성사업,승인요청,14.00,221
20190020,경기도 수원시 팔달구 고등동 300-16번지 외 근린생활시설,승인요청,18.04,222
20190021,부천 문화예술회관 건립공사,제출완료,14.00,223
20190022,대구 달성군 현풍면 중리 오피스텔,제출완료,24.30,224
20190023,울산 남구 야음동(깨밭골) 지역주택조합아파트 신축공사,제출완료,13.85,225
20190024,충장배전스테이션 신축공사,승인요청,18.60,226
20190025,미단시티 골든드래곤타워 신축공사,제출완료,19.96,227
20190026,대구 남구 대명동 공공지원 민간임대주택(1단지) 신축공사,승인요청,13.48,228
20190027,대구 남구 대명동 공공지원 민간임대주택(2단지) 신축공사,승인요청,18.14,229
20190028,송파구 잠실동 183-12 주상복합,제출완료,20.00,230
20190029,광주광역시 광산구 신가동 공동주택 신축공사,협의요청,14.80,231
20190030,"평택시 고덕 국제화계획지구 업무시설용지 12-2-1,2,3블럭 근린생활시설 및 업무시설 신축공사",제출완료,22.28,232
20190031,순천향대학교 부속 새병원 건립공사,검토 및 현지조사 의뢰,29.68,233
20190032,거제시 고현동 1100-3번지 복합시설 신축공사,사업 등록 완료,13.90,234
20190033,가야동 3-11번지일원 주상복합신축공사,평가서작성중,18.60,235
20190034,남산1구역 주택재건축 정비사업,승인요청,12.25,236
20190035,다사읍 매곡리 주거복합 신축공사,승인요청,12.31,237
20190036,인천 검단신도시 AB-6BL 공동주택 신축공사,제출완료,10.50,238
20190037,봉명베리굿4차,제출완료,12.60,239
20190038,송산그린시티 폴리프라자 신축공사 소규모 지하안전영향평가용역,제출완료,13.83,240
20190039,송산그린시티 더드림프라자 신축공사 소규모 지하안전영향평가용역,제출완료,13.43,241
20190040,거제시 고현동 1100-3번지 복합시설 신축공사,승인요청,13.90,242
20190041,김해 진영 택지개발지구 근린생활시설 신축공사,협의요청,16.85,243
20190042,당진대덕수청지구 상업시설 신축공사,제출완료,24.33,244
20190043,이천 비상저류조 신축공사,승인요청,24.10,245
20190044,"노원 외 2역 승강편의시설 설치공사 소규모 지하안전영향평가용역(노원역, 중계역)",제출완료,15.17,246
20190045,노원 외 2역 승강편의시설 설치공사 소규모 지하안전영향평가용역(군자역),제출완료,11.70,247
20190046,파주시- 명품3차 주상복합빌딩 신축공사 소규모지하안전영향평가,제출완료,13.96,248
20190047,서울중앙지사 복합시설 개발사업 신축공사,제출완료,32.10,249
20190048,경북도청이전신도시 공공하수처리시설 설치사업(2단계),제출완료,15.30,250
20190049,수성구 만촌동 아파트 신축공사,승인요청,17.95,251
20190051,성수동 656-24번지 근린생활시설 신축공사,승인요청,19.10,252
20190052,연경동 S-테라스 신축공사,보완요청,18.60,253
20190053,서구 암남동 2-21일원 미진 이지비아 공동주택 신축공사,승인요청,19.30,254
20190054,평택 고덕국제화계획지구 VIEW FIVE  신축공사,승인요청,24.90,255
20190055,안산시 시화 MTV 특별계획구역 C7-2 신축공사,승인요청,14.90,256
20190056,상대원동 223-27번지 지식산업센터 신축공사,협의요청,19.31,257
20190057,동구 복합문화체육센터 건립,협의요청,15.86,258
20190058,부산광역시 문현3구역 주택재개발 정비사업,승인요청,20.75,259
20190059,천안시 서북구 업성동 자동차전시장 신축공사,검토 및 현지조사 의뢰,13.66,260
20190060,서초동 1327-34 복합시설 신축공사 지하안전영향평가,제출완료,29.52,261
20190061,성남시 수정구 태평동 엘리시아 오피스텔,협의요청,14.28,262
20190062,광주 동구 수기동 오피스텔 신축공사,승인요청,14.68,263
20190064,경기도 김포시 양촌읍 양곡리 405-4외 4필지 업무시설 및 공동주택 신축공사,제출완료,14.00,264
20190065,유성광역복합환승센터 개발사업 부지 내 복합여객터미널 사업 지하안전영향평가서,제출완료,39.90,265
20190066,도시철도 환기구(감전~주례) 이설공사,승인요청,11.00,266
20190067,범일3-1 도시환경정비사업,승인요청,19.80,267
20190068,한국국제전시장 지구단위계획구역(E2-2) 복합시설 신축공사,제출완료,18.95,268
20190069,CGV 울산 신축공사,제출완료,19.39,269
20190070,춘천시 근화동 센트럴 파크 신축공사,제출완료,13.40,270
20190071,춘천시 조양동 레지던스 호텔 신축공사,제출완료,19.10,271
20190072,춘천시 근화1지역주택조합 신축공사,제출완료,13.83,272
20190073,메리츠화재 봉래동사옥 신축공사,제출완료,26.20,273
20190074,울산광역시 중구 우정동 복합시설 신축설계,평가서반려,19.00,274
20190075,"식사구역 E9-7,8 복합시설 신축공사",제출완료,27.31,275
20190076,옥정동 965-6 근린생활시설 신축공사,제출완료,12.77,276
20190077,파주시 와동동 1469-1 근린생활시설 신축공사,협의요청,15.95,277
20190078,강남구 역삼동 825-27번지 업무시설 신축공사,제출완료,18.19,278
20190079,원릉역 00플라자1 신축공사,제출완료,14.36,279
20190080,판교 제2테크노밸리 E2-1블록 신축공사(보완),제출완료,35.11,280
20190081,논현동 238-2 모두렌탈 사옥 신축공사,제출완료,17.58,281
20190082,대전보건대학교 치의학센터 및 학술정보관 증축공사,제출완료,17.00,282
20190083,가산동 더리브 지식산업센터 신축공사,제출완료,19.47,283
20190084,송촌동 상점가 공용주차 전용빌딩 건립공사,제출완료,14.50,284
20190085,신림동 역세권 2030 청년주택 신축공사,제출완료,27.01,285
20190086,광주광역시 화정동 일원 주상복합 계획안(1BL),승인요청,16.95,286
20190087,광주광역시 화정동 일원 주상복합 계획안(2BL),승인요청,16.47,287
20190088,가산동 더리브 지식산업센터 신축공사,제출완료,19.47,288
20190089,정자동 4-5번지 연구시설 신축공사,협의요청,37.50,289
20190090,강남구 역삼동 825-27번지 업무시설 신축공사,제출완료,18.19,290
20190091,"일광면 일광지구 E6B-2,3L 골드타워 신축공사",제출완료,13.20,291
20190092,남정지구 우수저류시설설치사업,협의요청,15.00,292
20190093,서둔동 16롯트(6-1-2블럭) 근생 및 생활 숙박시설 신축공사,사업 등록 완료,19.00,293
20190094,낙동강권역부문 사옥 건립사업,보완요청,19.00,294
20190095,광산구 첨단지구 쌍암동 오피스텔 신축공사,승인요청,14.00,295
20190100,대구 감삼동 주거복합 신축공사 소규모지하안전영향평가,정보수정중,19.26,296
20190101,창원시 상남동 7-2 00빌딩 신축공사,제출완료,14.62,297
20190102,동아 D TOWN 개발사업,제출완료,14.72,298
20190103,대교IT 지식산업센터 신축공사,제출완료,19.00,299
20190104,"부산도시철도(8차) 1,2호선 역사 시설개량공사",제출완료,13.28,300
20190105,"345kV신성남~동서울T/L 판교대장지구 지중화공사 지질조사, 지하안전영향평가 용역",협의요청,51.00,301
20190106,울산 중구 우정동 주거복합 신축공사,제출완료,22.56,302
20190107,제주 LIFE GARDEN(프로젝트 ECO) 웰컴센터,승인요청,14.86,303
20190108,성남글로벌 ICT융합 플래닛,협의요청,21.66,304
20190109,오설록 티뮤지엄 증축 개발사업,제출완료,12.44,305
20190110,남양뉴타운 근린생활시설 신축공사,승인요청,16.58,306
20190111,동부산 오시리아 타워레지던스 신축공사,승인요청,12.40,307
20190112,의왕테크노파크 복합시설 신축공사,협의요청,18.06,308
20190113,양주 옥정 유일스카이오피스텔,제출완료,19.00,309
20190114,판교 제2테크노밸리 도심첨단산업단지,협의요청,2296.00,310
20190115,성남시 수정구 수진동 18번지 근린생활시설 신축공사,제출완료,31.00,311
20190116,가양동 7구역 주택재건축 정비사업,제출완료,10.70,312
20190117,대구 중구 도원동 주상복합 신축공사,제출완료,27.00,313
20190118,대구광역시 만촌동 1040-14일원 주거복합 신축공사,제출완료,24.65,314
20190119,화성동탄2신도시 지원시설용지 39BL지식산업센터 신축공사,사업 등록 완료,22.00,315
20190120,재송2구역 주택재건축 정비사업에 따른 지하안전영향평가 용역,협의요청,33.65,316
20190121,M16 Ph1 Project,제출완료,18.00,317
20190124,울산 신정동 동문 굿모닝힐 신축공사,제출완료,16.80,318
20190125,구미시 중앙하수처리시설 민간투자사업(BTO),제출완료,12.00,319
20190126,대구 침산동 공동주택 복합빌딩 신축공사,제출완료,16.44,320
20190127,부산항(북항)재개발사업 지하주차장 건립공사,협의요청,16.05,321
20190128,여수웅천지구 관광휴양상업 3단지1블럭 오피스텔 신축공사,승인요청,18.91,322
20190129,기장청강리복합시설신축공사,제출완료,16.10,323
20190133,청라 힐 문화공간 공동주택 신축공사,승인요청,19.22,324
20190135,예산 몽곡리 폐기물최종처분시설 조성사업,제출완료,48.00,325
20190136,여수시 관문동 주상복합아파트 신축공사,제출완료,13.83,326
20190137,대저1자연재해위험개선지구 정비사업(신덕배수펌프장),제출완료,13.30,327
20190138,대구광역시 수성구 만촌동 주거복합 신축공사,제출완료,27.95,328
20190139,한남동 744-4 근린생활시설 신축공사,승인요청,13.67,329
20190140,문전교차로 지하차도 건설공사,검토 및 현지조사 의뢰,19.80,330
20190141,김포시 장기동 1605번지 근린생활시설 신축공사,사업 등록 완료,19.40,331
20190142,황금메디타워 신축공사,제출완료,16.60,332
20190143,대구 달서구 대천동 공동주택,검토 및 현지조사 의뢰,14.29,333
20190144,내부순환(만덕-센텀)도시고속화도로 민간투자사업,승인요청,22.90,334
20190145,재송동 업무시설 신축공사,제출완료,12.00,335
20190146,김포신곡6지구 S1B-1L 근린생활시설 신축공사,제출완료,13.76,336
20190147,응봉유수지 CSOs 저류조 설치공사,승인요청,17.47,337
20190148,대구광역시 수성구 복합문화시설 신축공사,승인요청,25.68,338
20190149,대구 서구 평리동 주상복합 신축공사,승인요청,15.30,339
20190150,창원시 의창구 사림동 오피스텔 복합건물 신축공사,승인요청,16.30,340
20190151,본동 주거복합 신축공사,검토결과 회신,19.38,341
20190152,방배동 909-6 근생빌딩 신축공사,제출완료,18.92,342
20190153,플랜인피닛 세종사옥 신축공사,제출완료,12.80,343
20190154,연산동 00주상복합 신축공사,승인요청,19.80,344
20190155,북부산새마을금고 회관 신축공사 소규모 지하안전평가 용역,검토 및 현지조사 의뢰,16.00,345
20190156,경산-수성 전기공급시설 전력구공사(자인-시지),제출완료,23.00,346
20190157,경산-수성 전기공급시설 전력구공사(자인-시지),협의요청,23.00,347
20190158,김포한강신도시 지식산업센터 신축공사(MS-7BL),제출완료,17.55,348
20190159,"전주에코시티 주상복합 1,2BL 신축공사",제출완료,26.06,349
20190160,대구광역시 달서구 본동 주상복합 신축공사,제출완료,16.00,350
20190161,아산시 모종동 주상복합시설 신축공사,승인요청,19.40,351
20190162,전주완주 혁신도시 업무시설(오피스텔) 신축공사,제출완료,15.10,352
