evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00114000001,서울시 강남구 대치동 891-38번지 오피스텔 신축공사,13004.00,14.61,0.00,20180401,20180719,17600.00,진행중,0,1
E00114000002,서울시 강남구 대치동 891-63번지 오피스텔 신축공사,13004.00,14.61,0.00,20180401,20180719,17600.00,진행중,0,1
E00017000001,수락산 외 1역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(36공구),2736.00,14.34,0.00,20180604,20181001,66471.00,진행중,238,1
E00042000001,오산시 세교택지개발지구 자족 3BL 지식산업센터 신축공사 소규모지하안전영향평가 용역,160000.00,14.20,0.00,20180710,20180808,48400.00,진행중,9443,1
E00144000001,심곡동 아파트 및 근린생활시설 신축공사 소규모 지하안전영향평가,6000.00,13.00,0.00,20180501,20180910,55000.00,진행중,1210,1
E00116000001,용인 수지 풍덕천동 근린생활시설 신축공사,9100.00,18.21,0.00,20180701,20180808,59400.00,진행중,7473,1
E00090000001,안양동 199번지 지식산업센터 신축공사,109000.00,18.46,0.00,20180702,20180806,55000.00,진행중,6612,1
E00024000001,여수시 학동 장미아파트 지역 주택조합 아파트 신축공사,2173.00,17.86,0.00,20180810,20180910,55000.00,진행중,38562,1
E00036000001,금천구 가산동 345-24 지식산업센터 신축공사,31200.00,19.80,0.00,20180406,20180504,59400.00,진행중,3140,1
E00036000002,수성 범어W 신축공사,1222200.00,15.40,0.00,20180413,20180424,66000.00,진행중,21266,1
E00150000001,영도구 동삼하리지구 복합개발사업 소규모 지하안전영향평가,236000.00,12.86,0.00,20180529,20180712,64900.00,진행중,23671,1
E00036000003,안양 아이에스 비즈타워 신축공사,190000.00,15.42,0.00,20180308,20180313,77000.00,진행중,31662,1
E00036000004,논현동 236-7 업무시설 신축공사,5000.00,19.90,0.00,20180409,20180718,54450.00,진행중,430,1
E00022000001,부천 원미동 지식산업센터 신축공사 소규모지하안전영향평가,187900.00,19.78,0.00,20180420,20180618,3850.00,진행중,10634,1
E00025000001,대구 중구 동문동 오피스텔 신축공사 소규모 지하안전영향평가,65900.00,19.95,0.00,20180402,20180504,55000.00,진행중,1169,1
E00076000001,"시흥은계 업무지구 3-1,2 지구 건축물신축공사 소규모 지하안전영향평가 용역",64000.00,19.35,0.00,20180502,20180901,33660.00,진행중,2878,1
E00044000001,수원시 영통구 이의동 1348번지 외 3필지 광교지구 복합시설 신축공사,1500.00,19.60,0.00,20180530,20190128,44000.00,진행중,8058,1
E00013000001,울산 중앙병원 증축설계,50000.00,16.01,0.00,20180523,20180731,33000.00,진행중,3487,1
E00036000005,인천검단신도시 AB16BL 공동주택 신축공사,659360.00,12.89,0.00,20180702,20180813,77000.00,진행중,69960,1
E00013000002,서밋 더 크로스 흥덕 복합상업시설 신축설계,20000.00,19.71,0.00,20180701,20180720,30000.00,진행중,3899,1
E00144000002,단국대학교병원 암센터 증축공사 소규모 지하안전영향평가,55000000000.00,15.90,0.00,20180601,20180930,31900.00,진행중,10358,1
E00013000003,의왕시 내손동 도시형 생활주택 신축공사,26064.00,15.16,0.00,20180725,20180810,44000.00,진행중,21542,1
E00010000005,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,50000.00,19.00,0.00,20180801,20180831,50000.00,진행중,1398,1
E00035000002,구래동6878-2번지 업무시설 및 근린생활시설 신축공사 소규모지하안전영향평가 용역,16000.00,19.84,0.00,20180504,20180608,33000.00,진행중,12743,1
E00149000001,청수지구 일반상업시설 용지 CA타워 신축공사,95000.00,19.76,0.00,20180709,20180829,53900.00,진행중,5039,1
E00146000001,양산시 중부동 689-7일원 업무시설 신축공사에 따른 소규모 지하안전영향형가,36450.00,19.75,0.00,20180625,20180731,57200.00,진행중,1446,1
E00102000001,파주시 야당동 1066 운정지구 퍼스트삼융4차 신축공사,49700.00,13.71,0.00,20180518,20180717,35200.00,진행중,2853,1
E00105000003,시립 마포실버케어센터 건립 소규모 지하안전영향평가 용역,22620.00,12.45,0.00,20180720,20181207,32140.00,진행중,11600,1
E00097000001,죽곡1오수중계펌프장이설사업 소규모지하안전영향평가,5800.00,13.50,0.00,20180706,20181029,19638.00,진행중,417,1
E00001000001,다산 진건지구 으뜸 웰타워 신축공사,4500.00,18.86,0.00,20180301,20180501,44000.00,진행중,1417,1
E00001000002,다산진건지구 업무 3-1BL 복합시설 신축공사,10000.00,13.92,0.00,20180321,20180601,44000.00,진행중,1318,1
E00042000002,하남미사 지식산업센터 신축공사 소규모 지하안전영향평가용역,230000.00,19.74,0.00,20180601,20180814,47850.00,진행중,11031,1
E00042000003,동탄2 42-1근린상업시설 신축공사 소규모지하안전영향평가용역,25000.00,16.46,0.00,20180618,20180720,44000.00,진행중,1164,1
E00042000004,동탄2 43-1근린상업시설 신축공사 소규모지하안전영향평가용역,25000.00,17.06,0.00,20180618,20180720,44000.00,진행중,1015,1
E00042000005,동탄2 43-4근린상업시설 신축공사 소규모지하안전영향평가용역,25000.00,17.60,0.00,20180618,20180720,44000.00,진행중,1001,1
