evalNo,evalNm,maxDigDepth,proStage,no
E00060000004,대구광역시 중구 삼덕동2가 와이즈타워 주거복합 신축공사,20.85,진행중,69
E00226000003,"칠성원, 경명, 상가 시장정비사업",30.80,진행중,70
E00006000010,사직1-6지구 주택재건축정비사업에 따른 지하안전영향평가 용역,29.00,진행중,71
E00010000010,"고양 원흥지구 상업4-4,5블럭 오피스텔 신축공사 지하안전영향평가",27.23,진행중,72
E00080000002,"여수시 학동 75, 76-5번지 숙박시설 신축공사",24.10,진행중,73
E00126000003,내당3지구 지역주택조합 주거복합시설 신축공사,22.00,진행중,74
E00196000004,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 범물-남대구 구간,13.00,진행중,75
E00044000002,다우기술컨소시엄 판교 제2사옥 신축공사,26.00,진행중,76
E00196000005,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 팔달-서침산 구간,11.00,진행중,77
E00196000006,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 팔달-서침산 구간,11.00,진행중,78
E00193000003,안양동 676-7번지 근린생활시설 신축공사 지하안전영향평가,1988.00,진행중,79
E00066000010,대구 진천동 라온프라이빗 주상복합 신축공사 지하안전영향평가,26.00,진행중,80
E00226000005,본리동 더퍼스트 주거복합 신축공사,20.70,진행중,81
E00097000004,범어동 OO주상복합 신축공사 지하안전영향평가 용역,24.00,진행중,82
E00043000004,세종특별자치시 1-5생활권 C37-3BL 관광호텔 및 근린생활시설 신축공사,27.00,진행중,83
E00224000001,오산세교 오피스텔  신축공사  소규모지하안전영향평가,20.00,진행중,84
E00133000003,대구 중구 동인동1가 주상복합 신축공사,24.00,진행중,85
E00194000001,도남지중화 사업 하천횡단 압입구간 지하안전영향평가 용역,19.50,진행중,86
E00029000001,울산역 복합환승센터주변 기반시설 정비공사 지하안전영향평가 용역,19.16,진행중,87
E00047000007,광산구 쌍암동 주상복합 신축공사,33.00,진행중,88
E00184000005,연제구 연산동(1124-25번지) 복합시설 신축공사 지하안전영향평가 용역,24.00,진행중,89
E00052000009,부산항(북항) 재개발사업지 내 상업·업무지구 D-3블럭 개발사업,29.76,진행중,90
E00154000017,대구중구 동인동 주거복합 신축공사,1965.00,진행중,91
E00185000002,안골천 우수암거 단면확장공사 지하안전영향평가,8.00,진행중,92
E00029000002,울산역 복합환승센터 주변 기반시설 정비공사 지하안전영향평가,19.16,진행중,93
E00099000010,동탄2 업무시설 1블록 1로트 업무복합시설 신축공사 지하안전영향평가서,27.60,진행중,94
E00092000002,화곡동 987-7 외2필지 오피스텔 신축공사 ,1360.00,진행중,95
E00019000010,신덕배수펌프장(터널) 지하안전영향평가,13.00,작성중,96
E00075000009,인천 검단지구 C5-1-2 오피스텔 신축공사 지하안전영향평가,30.19,진행중,97
E00055000018,"하남시 망월동 355-5외 미사자족 1-1,2블럭 지식산업센터 [재]",22.35,승인완료,98
E00121000011,임마누엘 케어센터 신축공사,30.25,진행중,99
E00243000003,원주시 원동 274-40번지 일원 다바골 주택재개발 정비사업,26.70,작성중,100
E00038000023,의왕시 고천동 375-6번지 오토갤러리 신축,38.58,승인완료,101
E00022000013,서울 강동구 성내동 48-6 천호 성내3구역 재개발 사업 [재],34.52,승인완료,102
E00143000007,고양 덕양구 도내동 955 오피스텔 신축공사,25.20,승인완료,103
E00022000008,인천시 서구 청라국제도시 청라동 6-2번지 오피스텔 신축,33.50,진행중,104
E10008000004,서울시 강서구 등촌동 14-7번지 지식산업센터 신축,26.86,진행중,105
E00198000006,서울시 강서구 등촌동 631-5 일원 축산농협 종합시설 신축,22.83,승인완료,106
E00010000014,서울시 광진구 구의동 218-11 근린생활시설 신축,21.08,승인완료,107
E00080000013,서울시 구로구 신도림동 413-9 외 9필지 신축,24.98,승인완료,108
E00114000011,서울시 금천구 가산동 345-40번지 지식산업센터 신축[재],28.05,진행중,109
E00039000002,서울시 금천구 가산동 554-2번지 지식산업센터 신축,24.56,진행중,110
E00055000010,서울시 금천구 독산동 292-6 외11 오피스텔 신축,26.96,승인완료,111
E00126000021,하남시 미사지구 자족시설12-1블럭 지식산업센터 신축공사,21.23,승인완료,112
E00126000014,하남시 미사지구 자족용지 13-1BL 지식산업센터 신축공사,22.00,승인완료,113
E00023000016,하남시 미사지구 중상3-1블럭 근린생활시설 신축,22.65,승인완료,114
E00190000010,서울시 영등포구 여의도동 21-4 공작상가 신축,32.77,승인완료,115
E00102000024,서울시 영등포구 여의도동 44-5번지 오피스텔 신축,27.50,승인완료,116
E00025000010,서울시 용산구 문배동 8-5번지 외6필지 오피스텔 신축,33.14,승인완료,117
E00091000002,서울 종로구 숭인동 1425 복합시설,32.87,승인완료,118
E00043000005,서울 종로구 종로5가 138-4 오피스텔 신축,31.94,진행중,119
E00103000003,서울 중구 묵정동 32-5 업무 및 근린생활,23.50,승인완료,120
E00096000004,서울 중구 충무로4가 세운 6-2-24 도시정비형 재개발사업,29.86,진행중,121
E00038000012,서울 중구 황학동 1257 오피스텔,34.40,승인완료,122
E00096000002,서울 중랑구 묵동 176-23 역세권 청년주택,25.50,승인완료,123
E00004000007,서울 중랑구 상봉동 91-4외 케이티앤지 복합개발,30.40,진행중,124
E00030000004,서울 중랑구 신내동 37 신내3지구 지식산업센터 신축공사,18.25,진행중,125
E00038000009,서울 현대차 특별계획구역 복합시설(GBC) 신축,39.80,승인완료,126
E00038000034,평택시 고덕지구 11-1-1BL 복합시설 신축공사,24.10,승인완료,127
E00038000039,"평택시 고덕지구 11-1-2, 3블럭 복합시설 신축공사",31.50,승인완료,128
E00133000006,"하남미사지구 중산15-2BL 근생 및 판매, 업무시설 신축공사",22.47,승인완료,129
E00023000026,하남미사지구 중상3-1BL 근린생활시설 신축공사,22.65,승인완료,130
E00066000013,남양주시 다산지금지구 자족6BL 지식산업센터 신축,21.26,승인완료,131
E00038000036,남양주시 화도읍 월산리 산65번지 외6필지 월산5지구 부영아파트 신축공사(남양주 월산5지구 부영아파트 신축공사),24.66,승인완료,132
E00038000041,남양주시 화도읍 월산리 산65번지 일원 공동주택(부영아파트) 신축공사,24.66,승인완료,133
E00190000013,다산신도시 진건지구 자족용지 3BL 지식산업센터 신축공사,25.56,승인완료,134
E00154000006,서울？삼성동 45-12？근생？및？업무시설,20.36,승인완료,135
E00154000005,서울 역삼동 765-17 근생 및 업무시설,26.86,진행중,136
E00044000007,서울 한남동 726-166 근생,24.72,진행중,137
E00002000013,서울시 강남구 삼성동 144-1번지 오피스텔 신축공사,24.00,승인완료,138
