evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00065000007,봉래구역 1지구 도시환경정비사업 지하안전영향평가,100000.00,26.20,0.00,20180416,20180712,99000.00,진행중,2826,1
E00065000008,"식사지구 E9-7,8 복합시설 신축공사 지하안전영향평가",27000.00,27.31,0.00,20180312,20180619,87870.00,진행중,1552,1
E00198000005,파주시 와동동 1469-1 신축공사,12000.00,15.95,0.00,20180810,20181231,44000.00,진행중,154930,1
E00154000002,판교 제2테크노밸리 E2-1블록 신축공사 지하안전영향평가(보완),90000.00,35.11,0.00,20190128,20190227,94600.00,진행중,4504,1
E00223000001,신림동 역세권2030청년주택 신축공사 중 지반조사 및 지하안전영향평가,95400.00,27.01,0.00,20181005,20191231,159500.00,진행중,2237,1
E00164000001,정자동 4-5번지 연구시설 신축공사,400000.00,37.50,0.00,20181221,20190222,99000.00,진행중,23866,1
E00062000002,평택 고덕국제화계획지구 VIEW FIVE 신축공사 지하안전영향평가 용역,65000.00,24.90,0.00,20180509,20180910,95700.00,진행중,1700,1
E00221000001,"1, 2호선 역사시설개량공사 지하안전영향평가",7700.00,13.28,29.00,20180831,20190318,149337.00,진행중,185,1
E00003000004,"345kV 신성남~동서울T/L 판교대장지구 지중화공사 지질조사, 지하안전영향평가 용역",26979600000.00,51.00,881.00,20190304,20190318,191400.00,진행중,0,1
E00200000003,울산 우정동 주택재개발정비사업 지반조사 및 지하안전영향평가용역,105278.00,22.56,0.00,20180831,20190331,129800.00,진행중,4702,1
E00144000004,성남글로벌 ICT융합 플래닛 건립 지하안전영향평가,91244.00,21.66,0.00,20180822,20190401,65630.00,진행중,5837,1
E00228000001,판교 DHNP 산학연센터 신축공사,25000.00,2296.00,0.00,20190401,20190510,85800.00,진행중,1211,1
E00088000001,대구 중구 도원동 주상복합 신축공사 지하안전영향평가,781847.00,27.00,0.00,20190402,20191001,104500.00,진행중,17093,1
E00066000003,대구광역시 수성구 만촌동 주상복합 신축공사 지하안전영향평가,174200.00,24.65,0.00,20180713,20190305,17600.00,진행중,3841,1
E00006000009,재송2구역 주택재건축 정비사업에 따른 지하안전영향평가용역,219965.00,33.65,0.00,20181221,20190328,143000.00,진행중,33795,1
E00204000002,예산 몽곡리 폐기물최종처분시설 조성사업 지하안전영향평가,29000.00,48.00,0.00,20190107,20190417,110000.00,진행중,0,1
E00066000004,대구시 수성구 만촌동 주거복합 신축공사,169200.00,27.95,0.00,20180710,20190522,77000.00,진행중,4417,1
E00009000008,내부순환(만덕-센텀)도시고속화도로 민간투자사업 지하안전영향평가,560800.00,22.90,9620.00,20180730,20190125,184800.00,진행중,0,1
E00218000002,대구시 달서구 대천동 공동주택 소규모 지하안전영향평가,140000.00,14.29,0.00,20190220,20190327,44000.00,진행중,8634,1
E00038000008,대구광역시 수성구 복합문화시설 신축공사,80000.00,25.68,0.00,20190110,20190411,99000.00,진행중,0,1
E00196000002,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 자인-시지 구간,29492.00,23.00,122.00,20190117,20190913,126722.00,진행중,0,1
E00196000003,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 자인-시지 구간,29492.00,23.00,122.00,20190117,20190913,126722.00,진행중,0,1
E00066000005,"전주에코시티 주상복합용지 1,2BL 설계용역",245000.00,26.06,0.00,20190102,20190711,95700.00,진행중,17755,1
E00176000001,광주광역시 금남로 오피스텔 신축공사,194815.00,37.95,0.00,20190220,20190730,58080.00,진행중,3142,1
E00060000004,대구광역시 중구 삼덕동2가 와이즈타워 주거복합 신축공사,105600.00,20.85,0.00,20190322,20190614,99000.00,진행중,0,1
E00226000003,"칠성원, 경명, 상가 시장정비사업",224800.00,30.80,0.00,20190304,20190520,121000.00,진행중,5518,1
E00006000010,사직1-6지구 주택재건축정비사업에 따른 지하안전영향평가 용역,359000.00,29.00,0.00,20181204,20190626,91300.00,진행중,52839,1
E00010000010,"고양 원흥지구 상업4-4,5블럭 오피스텔 신축공사 지하안전영향평가",66962.00,27.23,0.00,20190520,20190709,99700.00,진행중,14981,1
