evalNo,evalNm,maxDigDepth,proStage,no
E00225000004,"안성-평택지역 전기공급시설 전력구공사(고덕-서안성, 원암리) 사후지하안전영향 조사용역2차",62.63,진행중,65
E00116000022,논현동 도산대로 150 개발사업,30.07,진행중,66
E00130000011,진접선(4호선연장) 차량기지 건설사업 사후지하안전영향조사 용역,90.00,진행중,67
E00133000030,광명시 하안동 일반상업구역 C-3블럭 지식산업센터 신축공사,27.80,진행중,68
E00047000052,가산동 양지사부지(451-1번지) 지식산업센터 신축공사,25.81,진행중,69
E00047000053,가산동 양지사부지(452-1번지) 지식산업센터 신축공사,25.81,진행중,70
E00099000027,스타필드 수원 사후지하안전영향조사,38.47,진행중,71
E10008000014,고속국도 제400호선 김포-파주간 건설공사 제2공구 사후지하안전영향조사,46.56,진행중,72
E00038000094,"동탄2택지개발지구 문화복합 11-1,2,3,4(MC1) 신축공사",26.56,진행중,73
E00219000002,"평택 P3 PROJECT 터널공사(배관구, 2.6/4.0) 착공후지하안전조사",41.20,진행중,74
E00196000008,화성동탄(2)지구 일반상업용지 11블럭 복합시설 신축공사,36.00,진행중,75
E00239000005,대전 중구 선화동 106-1번지 주상복합 신축공사,24.25,진행중,76
E00196000009,화성동탄(2)지구 일반상업용지 12블럭 복합시설 신축공사,36.05,진행중,77
E00133000032,대구 삼덕동 주상복합 신축공사,26.65,진행중,78
E00039000013,만도 NEXT M 사후지하안전영향조사,23.48,진행중,79
E10011000003,"평택지역 전기공급시설 전력구공사(고덕-서안성, 브레인시티) 사후지하안전영향조사용역",63.53,진행중,80
E00010000032,양재동 오피스텔 신축공사 사후지하안전영향조사,28.26,진행중,81
E00056000012,"강남구 역삼동 653-4번지 지구단위계획 A1, A2BL 신축공사 사후지하안전영향조사(최초보고)",32.98,진행중,82
E00134000039,인천검단지구 AA14BL 공동주택 신축공사 중 사후 지하안전영향조사,25.77,진행중,83
E00133000035,다산신도시 진건지구 자족용지 3BL 지식산업센터 신축공사,26.00,진행중,84
E10008000015,등촌동 14-7 지식산업센터 신축공사 사후지하안전영향조사 수행,27.52,진행중,85
E10056000004,청양~부여 천연가스 공급시설 제2공구 건설공사 사후지하안전영향조사 용역,34.70,진행중,86
E00121000036,"청라국제도시 C4-1-5,6 복합시설 신축공사",33.04,진행중,87
E10091000002,잠실동 청년주택 신축공사 사후지하안전영향조사,29.41,진행중,88
E00139000021,업성호수타운 CGV 신축공사,26.50,진행중,89
E00102000103,시흥은계지구 상업2-2BL 오피스텔 신축공사,23.21,진행중,90
E00102000104,논현동 40-5번지 공공문화 복합청사 신축공사,27.81,진행중,91
E10007000010,오토렉스청라 중고차 수출 및 매매상사 신축공사,26.49,진행중,92
E00005000016,음성 성본산업단지 폐기물최종처리시설 조성사업 사후지하안전영향조사,38.48,진행중,93
E10083000005,대저1 자연재해위험개선지구 정비사업(신덕배수펌프장),13.30,진행중,94
E10085000005,은평 광역자원순환센터 건립사업 사후 지하안전영향조사 용역,26.38,진행중,95
E00133000037,성남고등지구 자족용지 지식산업센터 신축공사,20.83,진행중,96
E00121000037,인천검단지구 AA12-2BLOCK 공동주택용지 신축공사,30.51,진행중,97
E00121000039,다산지금지구 상2BL 다산지금디포레 신축공사,21.03,진행중,98
E00115000014,내곡동 소리박물관 신축공사 사후지하안전영향조사(최초),24.20,진행중,99
E10006000010,우동1513 생활형숙박시설 착공후지하안전조사,25.16,진행중,100
E00017000046,지하안전영향평가 재검토 및 사후평가 용역 파주 운정 오피스텔 개발사업,30.86,진행중,101
E10001000002,정자동 4-5번지 연구시설 신축공사 사후지하안전영향조사 용역,37.50,진행중,102
E00100000003,광주도시철도 2호선 1단계 건설공사 사후지하안전영향조사용역,36.81,진행중,103
E00038000096,동대문구 청량리동 오피스텔 및 공동주택 신축공사 사후지하안전영향조사 용역,33.62,진행중,104
E00106000031,강남지사 열수송망 성능 보강공사(2단계) 사후지하안전영향조사,7.72,진행중,105
