saupNo,saupNm,saupClass,groupCd,groupNm,zipNo,addr,staPlanYmd,endPlanYmd,constCost,maxDigDepth,digCapacity,digArea,devCorpNm,proStage,no
20180001,고색동 1181-3번지 근린생활시설 신축공사,건축물의 건축,F00011,은강개발,16633,"경기도 수원시 권선구 호매실로 21-26, 1181-3 (고색동)",20180702,20190611,2000.00,16.54,0.00,0.00,은강개발,협의요청,1
20180002,제주 연동 주상복합PJ,건축물의 건축,F00012,씨앤아이개발주식회사,63133,"제주특별자치도 제주시 신광로 87, 274-13 (연동)",20180702,20210131,15000.00,21.72,0.00,0.00,씨앤아이개발 주식회사,보완회신,1
20180044,천안 청수지구 548-1외 1필지 복합업무시설 신축공사,건축물의 건축,F00015,경천개발(주),,"충남 천안시 동남구 청당동 548-1,2 번지",20180901,20181031,40000.00,16.00,0.00,0.00,경천개발(주),승인완료,1
20180045,권선동 1011-15 오피스텔 신축공사,건축물의 건축,F00014,주식회사에코시티,16571,"경기도 수원시 권선구 효원로220번길 31, 1011-15번지 (권선동)",20180903,20200228,2000.00,16.60,0.00,0.00,에코시티,협의요청,1
20180046,인계동 1036-13번지 도시형생활주택 신축공사,건축물의 건축,F00016,주식회사 브엘세바,16489,"경기도 수원시 팔달구 인계로124번길 11, 1036-13 (인계동)",20180702,20190701,2000.00,17.60,0.00,0.00,주식회사 브엘세바,승인요청,1
20180047,김포시 구래동 6878-2 업무지구 신축공사,건축물의 건축,F00018,(주)에스와이종합개발,21621,"인천광역시 남동구 도림북로16번길 55, 1층 (도림동)",20181001,20201231,16000.00,19.84,0.00,0.00,(주)에스와이종합개발,제출완료,1
20180048,성남 판교대장 도시개발구역 A11BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,37863,경기도 성남시 분당구 대장동 181-1일원,20180930,20210228,342720.00,19.86,0.00,0.00,(주)하나자산신탁,협의요청,1
20180049,성남 판교대장 도시개발구역 A12BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,37863,경기도 성남시 분당구 대장동 287일원,20180930,20210228,418390.00,15.69,0.00,0.00,(주)하나자산신탁,협의요청,1
20180050,성남 판교대장 도시개발구역 A1BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,03182,경기도 성남시 분당구 대장동 50 일원,20181031,20210228,403460.00,14.20,0.00,0.00,(주)하나자산신탁,협의요청,1
20180051,성남 판교대장 도시개발구역 A2BL 공동주택 신축공사 소규모 지하안전영향평가,도시개발,F00020,주식회사 하나자산신탁,03182,경기도 성남시 분당구 대장동 56 일원,20181031,20210228,339900.00,15.30,0.00,0.00,(주)하나자산신탁,협의요청,1
20180052,경산시 중방동 897 주차전용건축물 신축공사,건축물의 건축,F00019,동양종합건설(주),,경산시 중방동 897번지,20180810,20200330,30248.00,19.50,0.00,0.00,,협의내용반영확인,1
20180053,위례택지개발 사업지구 C2-7블럭 복합시설 개발사업,건축물의 건축,F00021,(주)키움디앤씨,16842,경기도 성남시 수정구 창곡동 446-4,20180701,20190930,45000.00,17.61,0.00,0.00,(주)키움디앤씨,협의요청,1
20180054,명동 센터포인트 복합시설 개발사업,건축물의 건축,F00024,마스턴제28호센터포인트명동피에프브이 주식회사,04534,서울특별시 중구 남대문로 84 (을지로2가),20181220,20210220,48000.00,19.67,0.00,0.00,,승인요청,1
20180055,수성구 상동 근린생활시설 및 업무시설 신축공사,건축물의 건축,F00023,주식회사아르케,38450,대구광역시 수성구 들안로 113 (상동),20180830,20200130,73561.00,19.95,0.00,0.00,주식회사아르케,제출완료,1
20180056,성남 고등지구 자족 및 판매시설 1BL 지식산업센터 신축공사,건축물의 건축,F00025,(주)호반건설,,경시도 성남시 수정구 고등동 497-4 일대,20180901,20201031,106800.00,23.50,0.00,0.00,(주)호반건설,협의요청,1
20180059,여수덕충동2037-2오피스텔신축공사,건축물의 건축,F00026,더푸른도시개발,06593,"전라남도 여수시 덕충안길 86, 2037-2 (덕충동)",20180730,20200529,50182.00,19.75,0.00,0.00,더푸른도시개빌,보완요청,1
20180060,속초시 영랑동 생활숙박 신축공사,건축물의 건축,F00020,주식회사 하나자산신탁,24808,강원도 속초시 영랑해안9길 24 (영랑동),20180630,20200731,45000.00,17.26,0.00,0.00,,검토 및 현지조사 의뢰,1
20180061,용호동 주상복합 신축공사,건축물의 건축,F00027,(주)용호디엔씨,,,20180801,20191001,8000.00,14.19,0.00,0.00,(주)용호디엔씨,제출완료,1
20180062,연산동 기업형 임대주택 개발사업,도시개발,F00028,경동건설(주),,부산광역시 연제구 연산동 산185번지 일원,20190101,20210701,165000.00,41.00,0.00,0.00,경동건설(주),제출완료,1
20180063,구례군 백련리 공동주택 신축공사,건축물의 건축,F02567,대한토지신탁(주),57650,전라남도 구례군 구례읍 백련천길 26-1,20181001,20200930,60700.00,23.67,0.00,0.00,,정보수정중,1
20180064,"성남 판교 알파돔 6-1, 6-2블럭 개발사업",건축물의 건축,F00030,주식회사 알파돔시티,13529,"경기도 성남시 분당구 판교역로 지하 160, 중심상업용지 6-1, 6-2블럭 (백현동)",20181101,20210731,403000.00,34.00,0.00,0.00,주식회사 알파돔시티,협의요청,1
20180065,속초시 교동 986-3번지 일대 생활숙박시설 신축공사,건축물의 건축,F00034,시티엔네쳐주식회사,24855,"강원도 속초시 교동 986-3번지 외(986-1,2,4)",20181025,20210225,60000.00,19.86,0.00,0.00,시티엔네쳐주식회사,검토 및 현지조사 의뢰,1
20180066,신안동 국제미소래아파트 신축공사,도시개발,F00035,미소래주식회사,57049,광주광역시 북구 신안동11-1번지 외8필지,20180820,20201030,23500.00,11.90,0.00,0.00,미소래주식회사,승인요청,1
20180067,제주시 연동 오피스텔 신축공사,건축물의 건축,F00036,주로인터내셔날 주식회사,63136,제주특별자치도 제주시 신광로 95 (연동),20181001,20200601,39532.00,19.40,0.00,0.00,,제출완료,1
20180068,대구광역시 달서구 감삼동 와이즈 타워 주상복합 신축공사,건축물의 건축,F00037,우리자산신탁 주식회사,42643,대구광역시 달서구 와룡로 190 (감삼동),20181031,20220131,306000.00,18.35,0.00,0.00,,승인요청,1
20180069,시흥 장현지구 6BL 복합상업시설 신축공사,도시개발,F00038,주식회사 에이치엠지인베스트,14999,경기도 시흥시 능곡두일2길 9-18 (능곡동),20181101,20210630,195000.00,16.51,0.00,0.00,,협의요청,1
20180070,대치동 1008 복합시설 신축공사,건축물의 건축,F00040,(주)컬쳐랜드,06177,서울특별시 강남구 영동대로 326 (대치동),20180901,20200630,0.00,17.18,0.00,0.00,,제출완료,1
20180071,성남 판교 대장지구 A3BL 공동주택 신축공사,도시개발,F00039,주식회사 에이치엠지하우징,13544,경기도 성남시 분당구 대장동 210,20180930,20210331,155700.00,11.26,0.00,0.00,,협의요청,1
20180072,죽전역 동화 I - WISH 신축공사,건축물의 건축,F00041,(주)동화건설,41907,대구광역시 달서구 감삼동 492-2(사업장),20181001,20210331,176730.00,15.44,0.00,0.00,(주)동화건설,보완요청,1
20180073,아산시 온천동 공동주택 복합빌딩 신축공사,건축물의 건축,F00044,(주)하은,28456,"충청남도 아산시 번영로115번길 11-16, 2층 (온천동)",20181015,20211130,76000.00,15.00,0.00,0.00,(주)하은,사업 등록 완료,1
20180074,"성남 판교대장 도시개발구역 A7, 8BL 공동주택 신축공사",도시개발,F00046,(주)영우홀딩스,13544,"경기도 성남시 분당구 두밀로219번길 7, 대장동 204-1 (대장동)",20181205,20210331,406056.00,18.10,0.00,0.00,,협의요청,1
20180075,진해동부맑은물재생센터 증설사업(2단계),도시개발,F00045,창원시청,51612,"경상남도 창원시 진해구 남영로527번길 10, 진해동부맑은물재생센터 (남양동)",20181001,20201231,30229.00,18.75,0.00,0.00,,제출완료,1
20180076,"부천옥길지구 자족3-2, 3-3 지식산업센터 신축공사",도시개발,F00049,서영개발(주),14784,경기 부천시 옥길동 575번지 (옥길동),20181031,20200529,60700.00,14.06,0.00,0.00,서영개발(주),승인요청,1
20180077,아산 탕정지구 5-1BL 오피스복합빌딩 개발PJT,건축물의 건축,F00050,주식회사 좋은집,06121,"서울특별시 강남구 봉은사로 129, 1212호 (논현동)",20180901,20200430,26000.00,16.43,0.00,0.00,|주|좋은집,협의결과통보,1
20180078,부산 수영구 민락동 D7-10~12 복합시설 개발계획,건축물의 건축,F00051,플래닝더모스트2호 주식회사,44495,"울산광역시 중구 남외2길 38, 5층 (남외동)",20181101,20210410,158000.00,18.21,0.00,0.00,플래닝더모스트2호주식회사,보완요청,1
20180079,나라키움 서대문세무서 개발사업,도시개발,F00053,한국자산관리공사,48400,"부산광역시 남구 문현금융로 40, 한국자산관리공사 (문현동)",20181231,20201231,39300.00,14.00,0.00,0.00,,협의요청,1
20180080,성남 판교대장 도시개발사업지구 A6BL 공동주택 신축공사,도시개발,F00039,주식회사 에이치엠지하우징,13544,경기도 성남시 분당구 대장동 114-1,20180930,20210331,572400.00,15.06,0.00,0.00,(주)에이치엠하우징,협의요청,1
20180081,동구 신천동 근린생활시설 및 오피스텔 신축공사,건축물의 건축,F00042,청우디에이주식회사,,"대구광역시 동구 신천동 327-3,4번지",20180905,20210305,61074.00,28.35,0.00,0.00,청우디에이주식회사,승인요청,1
20180082,대구국가산업단지 A2-1블럭 대방 노블랜드 아파트 신축공사,도시개발,F00047,디비건설 주식회사,,대구광역시 달성군 구지면 창리 1434번지,20181018,20210617,135334.00,14.70,0.00,0.00,,승인요청,1
20180083,제주시 노형동 숙박시설 신축공사,건축물의 건축,F00055,브이아이피레지던스(주),63081,"제주특별자치도 제주시 원노형3길 39, 노형동 912-8,9 (노형동)",20190101,20210630,17000.00,10.70,0.00,0.00,,검토결과 회신,1
20180085,강릉 사천항 생활형숙박시설 개발사업,건축물의 건축,F00058,(주)브이씨바빌론,25435,"강원도 강릉시 사천면 진리항구1길 18, 외 8개필지",20190201,20210301,65000.00,13.75,0.00,0.00,(주)브이씨바빌론,검토 및 현지조사 의뢰,1
20180086,춘천농협 NH타운 개발사업,건축물의 건축,F00059,춘천농업협동조합,24272,"강원도 춘천시 소양로 118, 춘천농협 (소양로3가)",20190401,20220228,85600.00,15.91,0.00,0.00,,승인요청,1
20180087,이천하이닉스 16동 반도체공장외 2건,건축물의 건축,F00061,에스케이건설,03143,"서울특별시 종로구 율곡로2길 19, G-플랜트 (수송동)",20181101,20201031,3500000.00,15.00,0.00,0.00,에스케이건설,승인요청,1
20180088,마포로1구역 제12.13지구 재개발사업,건축물의 건축,F00057,코스마포피에프브이주식회사,06019,"서울특별시 강남구 선릉로 801, 604호(신사동, 배강빌딩) (신사동)",20190115,20210915,168000.00,25.25,0.00,0.00,코스마포피에프브이(주),협의요청,1
20180089,대구 신암동 에일린의뜰 신축공사,건축물의 건축,F00056,아이에스동서(주),06071,"대구광역시 동구 평화로 37-23, 721-6번지 일원 (신암동)",20181201,20210531,240000.00,14.45,0.00,0.00,아이에스동서(주),보완요청,1
20180090,아산탕정지구 3-G1블럭 도시형생활주택 신축공사,도시개발,F00062,주식회사 피디씨,17854,"경기도 평택시 비전5로 20-44, 3층 305호 (비전동)",20180915,20200415,38000.00,14.36,0.00,0.00,,검토 및 현지조사 의뢰,1
20180092,경기도 성남 고등 C-1BL 주상복합 신축공사,건축물의 건축,F06995,(주)무궁화신탁,13105,"경기도 성남시 수정구 대왕판교로995번길 2, 성남 고등 C-1BL (고등동)",20181101,20210228,133395.00,11.90,0.00,0.00,주식회사 무궁화신탁,협의요청,1
20180093,남구B-14구역 주택재개발정비사업,도시개발,F00064,남구B14구역주택재개발정비사업조합,48058,"울산광역시 남구 수암로 292, 2층 (야음동)",20200601,20221231,400000.00,17.70,0.00,0.00,남구B-14구역 주택재개발정비사업조합,보완요청,1
20180094,경기도 성남 고등 C-2BL 주상복합 신축공사,건축물의 건축,F06995,(주)무궁화신탁,13105,"경기도 성남시 수정구 대왕판교로981번길 5, 성남 고등 C-2BL (고등동)",20181101,20210228,132817.00,11.70,0.00,0.00,주식회사 무궁화신탁,협의요청,1
20180095,경기도 성남 고등 C-3BL 주상복합 신축공사,건축물의 건축,F06995,(주)무궁화신탁,13106,"경기도 성남시 수정구 대왕판교로955번길 8-4, 성남 고등 C-3BL (고등동)",20181101,20210228,97123.00,11.30,0.00,0.00,주식회사 무궁화신탁,협의요청,1
20180096,김포한강신도시 MS-11-3BL 복합시설 신축공사,건축물의 건축,F00065,주식회사 제이에스시티개발,,김포한강신도시 MS-11-3BL(경기도 김포시 구래동 6211-3),20190501,20210731,310000.00,23.70,0.00,0.00,,협의요청,1
20180097,역삼동790-9 주상복합시설 신축공사,건축물의 건축,F00066,sl개발,06248,서울특별시 강남구 논현로 337 (역삼동),20181022,20200622,7400.00,19.05,0.00,0.00,,협의요청,1
20180098,서울특별시 강남구 대치동891-63번지 오피스텔신축공사,건축물의 건축,F00068,(주)보아스디앤씨,33459,"서울특별시 강남구 선릉로90길 72, 3층(대치동, 석운가빌딩)",20180828,20191031,13004.00,14.61,0.00,0.00,(주)보아스디앤씨,제출완료,1
20180099,서울특별시 강남구 대치동 891-38번지 오피스텔신축공사,건축물의 건축,F00068,(주)보아스디앤씨,33459,"서울특별시 강남구 선릉로90길 72, 3층(대치동, 석운가빌딩)",20180828,20191031,13004.00,14.61,0.00,0.00,(주)보아스디앤씨,제출완료,1
20180100,대구 도시철도1호선 하양연장건설 지하안전영향평가용역,철도(도시철도)건설,F00052,대구광역시 도시철도건설본부,42808,"대구광역시 달서구 월배로 250, 도시철도건설본부 설계과 (상인동)",20181201,20211231,267254.00,17.59,280.00,0.00,,제출완료,1
20180101,수락산외 1역 승강편의시설 설치공사,철도(도시철도)건설,F00070,서울교통공사,01625,"서울특별시 노원구 동일로 지하 1662, 수락산역 4번출입구 및 태릉입구역 4번출입구 (상계동)",20181201,20200531,2736.00,14.34,0.00,0.00,서울교통공사,승인요청,1
20180102,경기도 안양시 호계동 949-9번지 일원 오피스텔 신축공사,건축물의 건축,F00075,(주)프라임씨앤디,18454,"경기도 화성시 메타폴리스로 47-11, 804 (반송동)",20180917,20200331,32000.00,21.46,0.00,0.00,(주)프라임씨앤디,제출완료,1
20180103,오산 세교택지개발지구 자족3BL 지식산업센터 신축공사,도시개발,F00078,주식회사 더퍼스트타워세교,18449,"경기도 화성시 삼성1로5길 5, 605호 (석우동)",20181201,20211101,160000.00,14.20,0.00,0.00,,정보수정중,1
20180104,"하남 미사지구 자족시설용지 12-2,3BL 지식산업센터 신축공사",건축물의 건축,F00079,(주)유탑디앤씨,,"경기도 하남시 미사강변도시 자족시설용지 12-2,3BL",20181201,20210531,230000.00,19.74,0.00,0.00,,정보수정중,1
20180105,여수시 학동 장미아파트지역주택조합아파트 신축공사,건축물의 건축,F00074,장미아파트지역주택조합,59671,"전라남도 여수시 쌍봉로 9, 학동 주공아파트 (학동, 주공아파트)",20181201,20210501,2173.00,17.86,0.00,0.00,장미아파트지역주택조합,제출완료,1
20180106,화성동탄2신도시 일상 11BL 복합시설 신축공사,도시개발,F00080,세현개발 주식회사,18497,경기도 화성시 동탄대로5길 9 (송동),20190329,20220530,105700.00,36.00,0.00,0.00,,제출완료,1
20180107,화성동탄2신도시 일상 12BL 복합시설 신축공사 지하안전영향평가,도시개발,F00080,세현개발 주식회사,18497,경기도 화성시 동탄대로5길 15 (송동),20180223,20180802,204300.00,36.05,0.00,0.00,,제출완료,1
20180108,논현동 236-7 업무시설,건축물의 건축,F00081,마로안건축사사무소,06109,서울특별시 강남구 봉은사로 225 (논현동),20181001,20191231,5000.00,19.90,0.00,0.00,,제출완료,1
20180109,플러스시네마 신축공사,건축물의 건축,F00077,(주)대명하우징,,"부산시 강서구 명지동 3586-4,5",20181015,20200515,60000.00,15.90,0.00,0.00,(주)대명하우징,사업 등록 완료,1
20180110,경기도 부천시 원미동 지식산업센타 신축공사,건축물의 건축,F00082,더피제이개발(주),14558,경기도 부천시 조마루로385번길 96 (원미동),20190107,20210607,187900.00,19.78,0.00,0.00,더피제이개발(주),제출완료,1
20180111,심곡동 아파트 및 근린생활시설 신축공사,건축물의 건축,F00083,아이원주택건설,14576,경기도 부천시 부천로 131 (심곡동),20180910,20190909,6000.00,13.00,0.00,0.00,,제출완료,1
20180112,안양동 199번지 지식산업센터 신축공사,건축물의 건축,F00087,(주)비에이플러스,14087,경기도 안양시 만안구 전파로44번길 53 (안양동),20181101,20200831,109000.00,18.46,0.00,0.00,(주)비에이플러스,승인요청,1
20180113,성남고등지구 자족용지 지식산업센터 신축공사,도시개발,F00069,라미개발 주식회사,06192,"서울특별시 강남구 테헤란로64길 8, 1201~2호 (대치동)",20190101,20201031,132800.00,20.83,0.00,0.00,라미개발 주식회사,협의요청,1
20180114,구포3차 봄여름가을겨울 아파트 신축공사,건축물의 건축,F00071,수영주택건설(주),46585,"부산광역시 북구 낙동북로647번길 25, 구포동 1030-32번지 (구포동)",20181201,20210731,47000.00,25.00,0.00,0.00,,보완요청,1
20180115,용인시 수지구 풍덕천동 교육연구시설,건축물의 건축,F00089,(주)디앤에이건축사사무소,16837,경기도 용인시 수지구 정평로 144 (풍덕천동) 외1,20181031,20200501,9100.00,18.21,0.00,0.00,,제출완료,1
20180117,수성 범어W 신축공사,건축물의 건축,F00056,아이에스동서(주),06071,대구광역시 수성구 달구벌대로 2428 (범어동),20190801,20231031,1222200.00,15.40,0.00,0.00,아이에스동서(주),제출완료,1
20180118,안양 아이에스 비즈타워 신축공사,건축물의 건축,F00056,아이에스동서(주),06071,경기도 안양시 만안구 안양천서로129번길 36 (안양동),20180801,20210227,190000.00,15.42,0.00,0.00,아이에스동서(주),제출완료,1
20180119,금천구 가산동 345-24 지식산업센터 신축공사,건축물의 건축,F00056,아이에스동서(주),06071,서울시 금천구 가산동 345-24번지,20180901,20201031,31200.00,19.80,0.00,0.00,아이에스동서(주),제출완료,1
20180120,영도구 동삼하리 도시개발사업,도시개발,F00090,하버시티개발(주),49128,"부산광역시 영도구 동삼오션로 58, 동삼동 1180번지 일원 (동삼동)",20181031,20220131,236000.00,12.86,0.00,0.00,,제출완료,1
20180121,서밋 더 크로스 흥덕 복합상업시설,건축물의 건축,F00092,(주)건축사사무소 가로,16953,"경기도 용인시 기흥구 흥덕중앙로 59, 영덕동 975-5번지 (영덕동)",20181101,20201101,20000.00,19.71,0.00,0.00,,제출완료,1
20180122,속초시 조양동 1111-1 생활숙박시설 신축공사,건축물의 건축,F00094,(주)씨앤케이디벨럽먼트,06221,"서울특별시 강남구 테헤란로38길 5, 14층 (역삼동)",20181130,20211130,9800.00,19.53,0.00,0.00,,협의결과통보,1
20180123,시흥 은계지구 근린생활시설 및 업무시설 신축공사,건축물의 건축,F00072,(주)골든트리,14923,경기도 시흥시 은계호수로 50 (은행동),20181203,20201231,33255.00,24.45,0.00,0.00,,제출완료,1
20180124,울산 중앙병원 신축공사,건축물의 건축,F00095,주식회사 가가건축사사무소,44667,"울산광역시 남구 문수로 472, 울산중앙병원 (신정동)",20190201,20210801,50000.00,16.01,0.00,0.00,,제출완료,1
20180125,안중계통 송수관로 복선화 매설공사,수자원개발,F00093,평택시 상하수도사업소,,경기도 평택시 고덕면 율포리 2-2번지,20180924,20190131,5300.00,11.47,0.00,0.00,,제출완료,1
20180126,삼성에이아이센터(지식산업센터),도시개발,F00091,(주)대흥도시개발,28608,"경기도 평택시 장당동(고덕국제화도시 9011-3),지원시설용지1-1-3",20180720,20200630,46250.00,12.66,0.00,0.00,(주)대흥도시개발,사업 등록 완료,1
20180127,수원 광교 복합시설 신축공사,건축물의 건축,F00097,케이힐스 주식회사,16509,경기도 수원시 영통구 에듀타운로 108 (이의동),20181001,20201130,1500.00,19.60,0.00,0.00,케이힐스(주),제출완료,1
20180128,대구 중구 동문동 오피스텔 신축공사,도시개발,F00013,(주)지음주택건설,,대구광역시 중구 동문동 13-120번지 외 12,20180901,20200831,65900.00,19.95,0.00,0.00,,보완요청,1
20180129,"시흥 은계지구 업무 3-1,2 근린생활시설 및 오피스텔 신축공사",건축물의 건축,F00085,바른은계전문투자형사모부동산투자유한회사,06158,"서울특별시 강남구 테헤란로 445, 본솔빌딩 9층 (삼성동)",20181001,20201231,64000.00,19.35,0.00,0.00,바른은계전문투자형사모부동산투자유한회사,제출완료,1
20180130,인천검단신도시 AB16BL 공동주택 신축공사,건축물의 건축,F00076,(주)대우건설,,인천 서구 검단신도시 택지개발지구 내 AB16BL,20181201,20210630,659360.00,12.89,0.00,0.00,(주)대우건설,제출완료,1
20180131,양산 중부동 서린 근린생활시설 신축공사,건축물의 건축,F00096,(주)메디빌드,48093,경상남도 양산시 양산역로 93 (중부동),20181001,20210331,36450.00,19.75,0.00,0.00,(주)메디빌드,제출완료,1
20180132,암센터 소규모지하안전영향평가,건축물의 건축,F00103,단국대학교의과대학부속병원,31116,충청남도 천안시 동남구 망향로 201 (안서동),20181101,20201031,55000.00,15.90,0.00,0.00,,검토 및 현지조사 의뢰,1
20180133,의왕시 내손동 근린생활시설 신축공사,건축물의 건축,F00102,(주)그룹환경종합건축사사무소,16024,경기도 의왕시 포일로 30 (내손동),20181031,20191031,26064.00,15.16,0.00,0.00,엠제이와이인베스트먼트,제출완료,1
20180134,(가칭)파트너스플라자 신축공사,건축물의 건축,F00101,세종앤파트너스5(주),04783,"서울특별시 성동구 성수이로20길 3, 세종빌딩 702호 (성수동2가)",20190304,20210405,227813.00,35.86,0.00,0.00,,제출완료,1
20180135,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,건축물의 건축,F00088,(주)동양주택건설,07734,"서울특별시 강서구 등촌로13길 10, 지하층 (등촌동)",20190121,20210131,50000.00,19.00,0.00,0.00,(주)동양주택건설,평가서결재중,1
20180136,청수지구 일반상업시설 용지 CA타워 신축공사,건축물의 건축,F00107,(주)에스에이치컴퍼니,31198,"충청남도 천안시 동남구 청수11로 26, 701호 (청당동)",20181001,20211001,95000.00,19.76,0.00,0.00,(주)에스에이치컴퍼니,협의결과통보,1
20180137,파주 삼융시네마,건축물의 건축,F00108,(주)삼융시네마,10908,경기도 파주시 소리천로8번길 24 (야당동)[*미고시],20181010,20191220,49700.00,13.71,0.00,0.00,,협의요청,1
20180138,"동탄신도시 인성 주상복합건축물(근린생활시설, 오피스텔)신축공사",도시개발,F00105,(주)가림아이앤씨,18453,"경기도 화성시 동탄원천로 153, (반송동) (반송동)",20181101,20200930,29000.00,23.00,0.00,0.00,,승인요청,1
20180139,동탄2 택지개발지구 42-1 와우스퀘어1 신축공사,건축물의 건축,F00098,(주)다림씨앤씨,18454,경기도 화성시 동탄면 동탄2택지개발지구 근상 42-1블럭,20181114,20191213,25000.00,16.46,0.00,0.00,(주)다림씨앤씨,정보수정중,1
20180140,동탄2 택지개발지구 43-1 와우스퀘어3 신축공사,건축물의 건축,F00098,(주)다림씨앤씨,18454,경기도 화성시 동탄면 동탄2택지개발지구 근상 43-1블럭,20181114,20191213,25000.00,17.06,0.00,0.00,(주)다림씨앤씨,제출완료,1
20180141,동탄2 택지개발지구 43-4 와우스퀘어4 신축공사,건축물의 건축,F00098,(주)다림씨앤씨,18454,화성시 동탄면 동탄2택지개발지구 근상 43-4블럭,20181114,20191213,25000.00,17.60,0.00,0.00,(주)다림씨앤씨,정보수정중,1
20180142,시립 마포실버케어센터 건립공사,건축물의 건축,F00110,서울특별시청,04524,"서울특별시 중구 세종대로 110, 서울시청 본관 (태평로1가)",20190201,20211231,22620.00,12.45,0.00,0.00,,승인요청,1
20180143,황구지천 공공하수처리시설 신축공사,폐기물처리시설 설치,F00109,수원시 하수도사업관리자,,경기도 수원시 권선구 호매실동 205번지,20190401,20211231,114940.00,15.00,0.00,0.00,,사업 등록 완료,1
20180144,죽곡1오수중계펌프장이설사업 소규모지하안전영향평가,폐기물처리시설 설치,F00111,대구광역시 건설본부,,대구광역시 달성군 다사읍 국도리 584번지,20181228,20200627,5800.00,13.50,0.00,0.00,,제출완료,1
20180145,다산 진건지구 으뜸 웰타워 신축공사,건축물의 건축,F00112,주식회사케이제이,12113,"경기도 남양주시 별내중앙로 34, 로뎀타워 503호 (별내동)",20181015,20200615,45000.00,18.86,0.00,0.00,,제출완료,1
20180146,다산진건지구 업무3-1BL 복합시설 신축공사,건축물의 건축,F00114,주식회사싸이칸,12247,경기도 남양주시 진건읍 다산중앙로146번길,20180917,20200131,10000.00,13.92,0.00,0.00,,제출완료,1
20180147,제주시 이도이동 1066-4 외 1필지 주상복합 신축공사,건축물의 건축,F00116,청라산업개발주식회사,63223,제주특별자치도 제주시 남광북1길 4 (이도이동),20190301,20220228,34000.00,19.40,0.00,0.00,,승인요청,1
20180148,호계온천 주변지구 주택재개발 정비사업(소규모 지하안전영향평가),도시개발,F06800,호계온천주변지구재개발정비사업조합,14041,"경기도 안양시 동안구 시민대로137번길 6, 2층 (호계동)",20180709,20231231,328137.00,13.50,0.00,0.00,,제출완료,1
20180149,"성남 판교 알파돔 6-1, 6-2블럭 개발사업(보완)",건축물의 건축,F00030,주식회사 알파돔시티,13529,"경기도 성남시 분당구 판교역로 지하 160, 6-1, 6-2블럭 (백현동)",20181101,20210731,403000.00,36.95,0.00,0.00,,제출완료,1
20180150,군포시 당동 주상복합 신축공사,건축물의 건축,F00121,박근배,14630,"경기도 부천시 장말로 363, 2층 202호 (심곡동)",20190110,20200630,30000.00,16.53,0.00,0.00,,제출완료,1
20180151,부산 서면 드림아파트 신축공사,건축물의 건축,F00120,이랜드건설,47300,"부산광역시 부산진구 중앙대로 658, 부전동 536-2, 18번지 (부전동)",20181201,20210731,83800.00,19.00,0.00,0.00,(주)이랜드건설,제출완료,1
20180153,송산그린시티 폴리프라자1 신축공사,건축물의 건축,F00125,(주)폴리에이치아이,18237,경기도 화성시 새솔동 송산그린시티 상업용지 1-1-6블럭,20181126,20200226,10300.00,13.68,0.00,0.00,,승인요청,1
20180154,안산시 수암동 500-1번지 신축공사,건축물의 건축,F00126,주식회사대현그랑시아,15202,경기도 안산시 상록구 원당골1길 5 (수암동),20181115,20200630,900.00,12.76,0.00,0.00,주식회사 대현그랑시아,제출완료,1
20180155,고양시 원흥동 634-4번지 신축공사,건축물의 건축,F00127,호텔윈,04755,서울특별시 성동구 마장로 255 (마장동),20180901,20191020,13000.00,12.87,0.00,0.00,,제출완료,1
20180156,속초시 중앙동 468-17 일원 생활숙박시설 신축공사,건축물의 건축,F00124,주식회사태인디앤디,24824,"강원도 속초시 중앙로 172-7, 중앙동 468-17,14,193,92,224,42 (중앙동)",20181101,20210401,69682.00,17.91,0.00,0.00,,제출완료,1
20180157,김포시 구래동 6871-57 근생 및 오피스텔 신축공사,건축물의 건축,F00128,(주)연세와이세븐스,10070,경기도 김포시 김포한강10로 133번길,20180901,20191231,9900.00,18.36,0.00,0.00,,제출완료,1
20180158,안양냉천 주거환경개선사업,건축물의 건축,F00129,대림산업주식회사,14031,경기도 안양시 만안구 냉천로125번길 21 일원 (안양동),20210201,20231101,444900.00,14.50,0.00,0.00,대림산업(주),협의요청,1
20180159,궁내동 258-16 자동차관련시설,도시개발,F00132,천우모터스(주),13550,경기도 성남시 분당구 대왕판교로 316 (궁내동),20190201,20191130,4000.00,13.60,0.00,0.00,천우모터스(주),협의요청,1
20180160,김포한강신도시 자족시설용지 MS10-2 근린생활시설 및 오피스텔,건축물의 건축,F00131,(주)비엠디벨로퍼,07583,"서울특별시 강서구 강서로56가길 41, 민경빌딩 203-1호 (등촌동)",20181201,20201231,21050.00,19.95,0.00,0.00,(주)비엠디벨롭먼트,제출완료,1
