saupNo,saupNm,saupClass,groupCd,groupNm,zipNo,addr,staPlanYmd,endPlanYmd,constCost,maxDigDepth,digCapacity,digArea,devCorpNm,proStage,no
20211313,인천 청라 현대 썬앤빌 에코스타 오피스텔 신축공사,건축물의 건축,F04047,한국토지신탁,22742,"인천광역시 서구 에코로 151, 서구 청라동 6-3번지 (청라동)",20190620,20220326,70800.00,24.00,0.00,0.00,한국토지신탁,제출완료,1
20211314,역삼동 828-2번지 청년주택 신축공사,건축물의 건축,F04055,(주)명현,06239,"서울특별시 강남구 테헤란로8길 29, 일원 (역삼동)",20211201,20241231,78000.00,36.87,0.00,0.00,,제출완료,1
20211315,서초동 1554-2번지 외 5필지 신축공사,도시개발,F04023,(주)제이케이파트너스,06646,서울특별시 서초구 서초대로 260 (서초동),20220101,20250630,53500.00,42.15,0.00,0.00,,제출완료,1
20211316,삼성동 1-3 업무시설 신축공사,건축물의 건축,F04056,우림매스틱공업(주),06088,서울특별시 강남구 선릉로130길 5 (삼성동),20220401,20240229,9500.00,19.83,0.00,0.00,,제출완료,1
20211317,동교동 161-1 근린생활시설 신축공사,건축물의 건축,F04057,(주)아성무역,03995,서울특별시 마포구 동교로 182 (동교동),20211201,20230228,4000.00,17.55,0.00,0.00,,제출완료,1
20211318,청주시청사 건립공사,건축물의 건축,F03875,청주시청,28542,충청북도 청주시 상당구 상당로 155 (북문로3가),20220201,20241201,270000.00,14.60,0.00,0.00,,제출완료,1
20211319,세류동 업무시설(주거용 오피스텔) 및 근린생활시설 신축공사,건축물의 건축,F03965,신영부동산신탁(주),16660,경기도 수원시 권선구 정조로388번길 7-8 (세류동),20211001,20231001,20000.00,17.16,0.00,0.00,,제출완료,1
20211320,송내 국민체육센터 건립사업 소규모 지하안전영향평가,체육시설 설치,F00228,경기도 부천시청,14726,부천시 경인로120번길 45 (송내동),20220701,20240331,26487.00,10.28,0.00,0.00,,제출완료,1
20211321,중앙지사 열수송망 성능 보강공사(2단계),에너지개발,F02190,한국지역난방공사 중앙지사,06500,서울특별시 서초구 신반포로11길 40 (반포동),20200501,20230501,26900.00,13.60,0.00,0.00,,제출완료,1
20211322,여주시 가남읍 심석리 물류창고(A안) 신축공사,건축물의 건축,F04036,클레이골드파트너스(주),12661,경기도 여주시 가남읍 경충대로 1054,20220502,20240502,146400.00,17.67,0.00,0.00,,제출완료,1
20211323,오시리아 관광단지 문화예술타운 개발사업,관광단지 개발,F04045,(주)아트하랑,46084,"부산광역시 기장군 기장읍 기장해안로 147, 인근",20211101,20240831,700000.00,18.96,0.00,0.00,,제출완료,1
20211324,간석동 173-2번지 일대 주상복합아파트 신축공사 ,도시개발,F04060,주식회사리드,21544,"인천광역시 남동구 백범로 367, 로얄관광호텔 (간석동)",20220201,20241231,176123.00,18.14,0.00,0.00,,제출완료,1
20211325,(재협의)풍무2지구 환지부지 업무시설 신축사업,건축물의 건축,F03207,일성건설(주),10113,경기도 김포시 풍무2지구 5BL-1LOT,20211001,20230531,37000.00,19.38,0.00,0.00,,제출완료,1
20211326,대구 대명동 1592-30번지 주상복합 신축공사,도시개발,F04063,주식회사미래산업개발,42478,"대구광역시 남구 대명복개로2길 7-1, 대명동 (대명동)",20211201,20220531,110000.00,15.20,0.00,0.00,,제출완료,1
20211327,강남구 청담동 53-5번지 신축공사,도시개발,F04068,(주)더루시아청담,06071,서울특별시 강남구 도산대로 546 (청담동),20220907,20241127,130900.00,23.10,0.00,0.00,,사업 등록 완료,1
20211328,강남구 청담동 주상복합시설 신축공사,도시개발,F04033,(주)주성알앤디,06075,서울특별시 강남구 영동대로 716 (청담동),20220907,20241121,132000.00,24.30,0.00,0.00,,제출완료,1
20211329,논현동 주상복합시설 신축공사,도시개발,F04034,주식회사디케이알글로벌,06048,서울특별시 강남구 도산대로 230 (논현동),20220908,20241122,136400.00,24.90,0.00,0.00,,사업 등록 완료,1
20211330,대전광역시 중구 오류동 주상복합 신축공사,건축물의 건축,F04065,금화건설(주),34909,"대전광역시 중구 계백로 1731, 외 2필지 (오류동)",20220201,20251031,200000.00,23.85,0.00,0.00,,제출완료,1
20211331,울주군 신화리 1601-2번지 주상복합 신축공사,건축물의 건축,F04069,우방,44951,울산광역시 울주군 삼남읍 울산역로 177,20211201,20231130,241000.00,30.73,0.00,0.00,,제출완료,1
20211332,대전 서구 탄방동 오피스텔 개발사업,도시개발,F04071,상현베스트개발(주),35259,"대전광역시 서구 둔산중로 1, 외 1필지 (탄방동)",20220301,20251231,408900.00,33.24,0.00,0.00,,제출완료,1
20211333,아산신도시 해제지역 연계교통망 순환축(대로3-1호),도로건설,F04072,아산시청(도시재생과),31459,"충청남도 아산시 탕정면 선문로350번길 60-11, 탕정면 호산리 118-11번지 일원",20211101,20240630,48900.00,38.43,60.00,0.00,아산시청,사업 등록 완료,1
20211334,의정부동 23-1 UN 주상복합 신축공사,건축물의 건축,F04074,주식회사 에스에이홀딩스,11693,"경기도 의정부시 호국로1336번길 39-6, 일원 (의정부동)",20220801,20260801,52000.00,19.95,0.00,0.00,,제출완료,1
20211335,천안시 입장면 용정리 물류창고 신축공사,건축물의 건축,F05177,신한자산신탁(주),31025,충청남도 천안시 서북구 입장면  307-1,20220201,20231031,140000.00,30.70,0.00,0.00,,제출완료,1
20211336,영등포동 1가 92-3번지 주상복합 신축공사,도시개발,F02601,대명건설주택(주),07308,"서울특별시 영등포구 경인로112길 1, 영등포동1가 92-3외9필지((92-1,2,3,91,84,85,86,87,88,89)) (영등포동1가)",20191101,20201201,218000.00,25.12,0.00,0.00,,사업 등록 완료,1
20211337,하남시미사지구(중상15 C1-1)오피스텔 신축공사 지하안전영향평가,도시개발,F03041,신영부동산신탁(주),12912,경기도 하남시 망월동 1129-1,20220104,20250730,202376.00,29.80,0.00,0.00,,제출완료,1
20211338,인천광역시 서구 경서3지구8-4BL 근생 및 위락시설 신축공사,건축물의 건축,F04080,(주)유어에이스,22733,인천광역시 서구 경서동 249-162번지(경서3지구 8-4BL),20220101,20230831,10000.00,13.51,0.00,0.00,,제출완료,1
20211339,신월동 147-1 근린생활시설 신축공사,건축물의 건축,F04077,원종호,07910,"서울특별시 양천구 가로공원로 106, 외 3필지 (신월동)",20220301,20231030,15000.00,16.82,0.00,0.00,,제출완료,1
20211340,서초동 1364-5 알머스사옥 신축공사,건축물의 건축,F04012,주식회사 알머스,06734,서울특별시 서초구 서운로 12-1 (서초동),20211201,20230531,6000.00,19.83,0.00,0.00,,제출완료,1
20211341,삼성동 98번지 일대 가로주택정비사업,건축물의 건축,F04053,삼성동98번지일원가로주택정비사업조합,06081,"서울특별시 강남구 봉은사로109길 46, 일대 (삼성동, 한강빌라)",20220501,20240731,71700.00,18.30,0.00,0.00,,제출완료,1
20211342,상도2동 복합청사(주민센터 및 문화원) 신축공사,건축물의 건축,F03180,상도현대메트로센터파크지역주택조합,06925,"서울특별시 동작구 만양로3길 80, 상도동 373-1번지 일대 (노량진동)",20210801,20220630,11300.00,11.75,0.00,0.00,,제출완료,1
20211343,원창동 381-56번지 근린생활시설 신축공사,건축물의 건축,F04083,(주)골드디앤씨,22769,"인천광역시 서구 북항로32번안길 9-7, 원창동 381-56 (원창동)",20220301,20250301,10000.00,15.55,0.00,0.00,,제출완료,1
20211344,원창동 381-60번지 근린생활시설 신축공사,건축물의 건축,F04085,(주)와이비디앤씨,22769,"인천광역시 서구 북항로32번안길 9-10, 원창동 381-60 (원창동)",20220301,20250301,11000.00,16.09,0.00,0.00,,제출완료,1
20211345,대전 도마변동3구역 주택재개발정비사업,도시개발,F04079,도마변동3재정비촉진구역주택재개발정비사업조합,35317,"대전광역시 서구 중반4길 68, 일원 (변동)",20230701,20290630,760000.00,10.50,0.00,0.00,,제출완료,1
20211347,"인천시 중구 중산동 1873-19번지 근생, 숙박시설 신축공사",도시개발,F03707,케이디비(주),22402,인천광역시 중구 영종대로 881 (중산동),20211004,20240902,40000.00,18.96,0.00,0.00,케이디비(주),제출완료,1
20211348,"영종하늘도시 B8-1-3BL 업무시설, 생활숙박시설 신축공사",건축물의 건축,F04073,주식회사 대아디앤씨,22397,인천광역시 중구 중산동 1960-3,20220801,20260731,165000.00,28.04,0.00,0.00,주식회사 대아디앤씨,제출완료,1
20211349,"영종하늘도시 B8-1-4BL 업무시설, 생활숙박시설 신축공사",건축물의 건축,F04073,주식회사 대아디앤씨,22397,인천광역시 중구 중산동 1960-2,20220801,20260731,165000.00,29.17,0.00,0.00,주식회사 대아디앤씨,제출완료,1
20211350,울산 남구 신정동 1267번지 일원 주상복합 신축공사,건축물의 건축,F04087,(주)가온알이에스,44658,울산광역시 남구 봉월로 15 (신정동 1267-6번지 일대),20211201,20230430,814000.00,19.09,0.00,0.00,(주)가온알이에스,제출완료,1
20211351,삼방공원 공영주차장 조성사업,도시개발,F04090,김해시,50814,"경상남도 김해시 삼안로255번길 23-1, 삼방공원 (삼방동)",20220301,20240329,7000.00,11.13,0.00,0.00,경상남도 김해시,제출완료,1
20211352,광주시 남구 월산동 243-1지역주택조합아파트 신축공사,도시개발,F04088,남구수박등지역주택조합,61620,광주광역시 남구 월산로77번길 16 (월산동),20220301,20240930,67000.00,18.36,0.00,0.00,,제출완료,1
20211353,대구시 수성구 대흥동 870-2 00빌딩 신축공사,건축물의 건축,F04084,와이티주식회사,42251,"대구광역시 수성구 알파시티1로4길 19-8, 대흥동 870-2번지 (대흥동)",20220215,20230816,21300.00,13.91,0.00,0.00,와이티주식회사,제출완료,1
20211354,광명시 소하동 1344 지식산업센터 신축공사,건축물의 건축,F04089,광명하나바이온,14322,경기도 광명시 소하로 200 (소하동),20190701,20220228,190000.00,24.88,0.00,0.00,광명하나바이온,제출완료,1
20211356,DE POLYMATH  병원 신축공사,건축물의 건축,F04070,주식회사 드폴리매스,12919,경기도 하남시 풍산동 520-1,20211201,20220531,9900.00,14.82,0.00,0.00,,제출완료,1
20211357,종광대2구역 주택재개발 정비사업 지하안전영향평가(설계변경),도시개발,F00209,종광대2구역주택재개발정비사업조합,55002,전라북도 전주시 덕진구 반태산1길 84 (인후동1가),20220801,20270731,159376.00,26.40,0.00,0.00,,제출완료,1
20211358,서산지역 전기공급시설 전력구공사(서산-성연),에너지개발,F03187,한국전력공사 중부건설본부,31933,충청남도 서산시 성연면 충의로 625,20220207,20240531,41670.00,34.70,1633.00,0.00,,제출완료,1
20211359,폐기물 최종처리시설조성사업,폐기물처리시설 설치,F02996,주식회사빅토리아산업,45008,울산광역시 울주군 온산읍 강양리 산152번지 일원,20220103,20240105,19800.00,49.70,0.00,0.00,,제출완료,1
