"관리코드","구","동","공사명","착공일 ~ 준공일","신청자","처리상태","도로","포장","허가번호"
"일반-210219-48","강남구","대치동","도곡초등학교 지중화<BR>(강남구 대치동   919-18 ~ 대치동   919-18)","2021-12-06 ~ 2022-06-30","한국전력공사 남서울사업본부(직할)","착공계 접수","구도","차도","강남구-2021-전기-00037"
"일반-210219-48","강남구","대치동","도곡초등학교 지중화<BR>(강남구 대치동   1011-62 ~ 대치동   1011-64)","2021-12-06 ~ 2022-06-30","한국전력공사 남서울사업본부(직할)","착공계 접수","구도","차도","강남구-2021-전기-00037"
"일반-210219-48","강남구","대치동","도곡초등학교 지중화<BR>(강남구 대치동   1011-73 ~ 대치동   1011-62)","2021-12-06 ~ 2022-06-30","한국전력공사 남서울사업본부(직할)","착공계 접수","구도","차도","강남구-2021-전기-00037"
"일반-210219-48","강남구","대치동","도곡초등학교 지중화<BR>(강남구 대치동   1011-84 ~ 대치동   1011-84)","2021-12-06 ~ 2022-06-30","한국전력공사 남서울사업본부(직할)","착공계 접수","구도","차도","강남구-2021-전기-00037"
"일반-210219-48","강남구","대치동","도곡초등학교 지중화<BR>(강남구 대치동   1026 ~ 대치동   1026)","2021-12-06 ~ 2022-06-30","한국전력공사 남서울사업본부(직할)","착공계 접수","특별시도","보도","강남구-2021-전기-00037"
"일반-210219-48","강남구","대치동","도곡초등학교 지중화<BR>(강남구 대치동   1026 ~ 대치동   1026)","2021-12-06 ~ 2022-06-30","한국전력공사 남서울사업본부(직할)","착공계 접수","특별시도","차도","강남구-2021-전기-00037"
"일반-210219-15","중구","장충동2가","동대입구역 2번출구 엘리베이터 설치공사<BR>(중구 장충동2가   199-3 ~ 장충동2가   199-3)","2021-12-06 ~ 2022-08-31","서울교통공사","착공계 접수","특별시도","차도","중구-2021-기타-00006"
"일반-210114-11","서대문구","현저동","지하철 승강편의시설 토목건축공사(3-6공구)<BR>(서대문구 현저동   통일로 17 ~ 현저동   통일로 17)","2022-01-10 ~ 2022-11-19","서울교통공사","착공계 접수","특별시도","차도","서대문구-2021-기타-00004"
"일반-210114-07","서대문구","현저동","지하철 승강편의시설 토목건축공사(3-6공구)<BR>(서대문구 현저동   통일로 17 ~ 현저동   통일로 17)","2022-01-10 ~ 2022-11-19","서울교통공사","착공계 접수","특별시도","차도","서대문구-2021-기타-00006"
"일반-210113-40","은평구","대조동","지하철승강편의시설(3-9공구)상수도이설<BR>(은평구 대조동   15-9 ~ 대조동   15-9)","2022-03-01 ~ 2022-07-31","서울교통공사","착공계 접수","특별시도","보도","은평구-2021-기타-00005"
"일반-210113-38","은평구","대조동","지하철승강편의시설(3-9공구)상수도이설<BR>(은평구 대조동   15-9 ~ 대조동   15-9)","2022-03-01 ~ 2022-07-31","서울교통공사","착공계 접수","특별시도","차도","은평구-2021-기타-00007"
"일반-210113-37","서대문구","현저동","지하철 승강편의시설 토목건추공사(3-6공구)<BR>(서대문구 현저동   통일로 7 ~ 현저동   통일로 7)","2022-01-10 ~ 2022-11-19","서울교통공사","착공계 접수","특별시도","차도","서대문구-2021-기타-00005"
"일반-210107-40","서초구","서초동","지하철 승강편의시설(3-7공구)(교대역13번출구 하수관 이설공사)<BR>(서초구 서초동   1657-5 ~ 서초동   1657-5)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","차도","서초구-2021-기타-00029"
"일반-210107-39","서초구","서초동","지하철 승강편의시설(3-7공구)(교대역13번출구 상수관 이설공사)<BR>(서초구 서초동   1657-5 ~ 서초동   1657-5)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","차도","서초구-2021-기타-00030"
"일반-210107-33","서초구","서초동","지하철승강편의시설(3-7공구)(교대역11번출구 하수관 이설공사)<BR>(서초구 서초동   1715-6 ~ 서초동   1715-6)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","차도","서초구-2021-기타-00028"
"일반-210107-31","서초구","서초동","지하철 승강편의시설 토목건축공사(3-7공구)<BR>(서초구 서초동   1715-6 ~ 서초동   1715-6)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","차도","서초구-2021-기타-00027"
"일반-201119-78","서초구","서초동","지하철 승강편의시설 토목건축공사(3-7공구)<BR>(서초구 서초동   1715-7 ~ 서초동   1715-7)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","보도","서초구-2020-기타-00227"
"일반-201008-77","종로구","숭인동","창신숭인 도시재생선도지역 노후하수관로 종합정비공사<BR>(종로구 숭인동   1423 ~ 숭인동   1422)","2022-03-21 ~ 2022-06-30","종로구 치수과","착공계 접수","구도","차도","종로구-2020-하수-00098"
"일반-200909-03","종로구","창신동","창신숭인 도시재생선도지역 노후하수관로 종합정비공사<BR>(종로구 창신동   526-5 ~ 창신동   525)","2022-03-21 ~ 2022-07-31","종로구 치수과","착공계 접수","특별시도","보도","종로구-2020-하수-00067"
"일반-200821-62","서초구","서초동","지하철 승강편의시설 교대역 11번출구 에스컬레이터 설치공사<BR>(서초구 서초동   1715-7 ~ 서초동   1715-7)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","차도","서초구-2020-기타-00148"
"일반-200630-60","서초구","서초동","지하철 승강편의시설 토목건축공사(3-7공구)<BR>(서초구 서초동   1715-7 ~ 서초동   1715-7)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","보도","서초구-2020-기타-00107"
"일반-200626-79","은평구","대조동","지하철 승강편의시설 토목건축공사(3-9공구)<BR>(은평구 대조동   15-1 ~ 대조동   15-1)","2022-03-01 ~ 2022-07-31","서울교통공사","착공계 접수","특별시도","차도","은평구-2020-기타-00084"
"일반-200626-79","은평구","대조동","지하철 승강편의시설 토목건축공사(3-9공구)<BR>(은평구 대조동   15-1 ~ 대조동   15-1)","2022-03-01 ~ 2022-07-31","서울교통공사","착공계 접수","특별시도","보도","은평구-2020-기타-00084"
"일반-200625-72","서대문구","현저동","지하철 승강편의시설 토목건축공사(3-6공구) 독립문역<BR>(서대문구 현저동   102-49도(독립문역 4번출구) ~ 현저동   102-53도(독립문역 4번출구))","2022-03-02 ~ 2022-11-19","서울교통공사","착공계 접수","특별시도","차도/보도","서대문구-2020-기타-00021"
"일반-200518-32","광진구","능동","군자역 8번 출입구 승강편의시설 설치공사(에스컬레이터)<BR>(광진구 능동   천호대로 550(군자역 8번 출입구 인근) ~ 능동   천호대로 550(군자역 8번 출입구 인근))","2022-02-23 ~ 2022-08-31","서울특별시 도시철도공사","착공계 접수","특별시도","차도","광진구-2020-기타-00010"
"일반-200518-30","광진구","능동","군자역 8번 출입구 승강편의시설 설치공사(에스컬레이터)<BR>(광진구 능동   천호대로 550(군자역 8번 출입구 인근) ~ 능동   천호대로 550(군자역 8번 출입구 인근))","2022-02-23 ~ 2022-08-31","서울특별시 도시철도공사","착공계 접수","특별시도","보도","광진구-2020-기타-00009"
"일반-200507-03","노원구","상계동","노원 외 1역 승강편의시설 설치공사(노원역)<BR>(노원구 상계동   동일로 1409(노원역 5번 출입구 인근) ~ 상계동   동일로 1409(노원역 5번 출입구 인근))","2021-08-17 ~ 2022-06-30","서울특별시 도시철도공사","착공계 접수","특별시도","차도/보도","노원구-2020-기타-00022"
"일반-200404-06","강서구","화곡동","까치산 외 1역 승강편의시설 설치공사(39공구, 까치산역)_원인자<BR>(강서구 화곡동   강서로 38 ~ 화곡동   강서로 38)","2021-09-08 ~ 2022-06-30","서울특별시 도시철도공사","착공계 접수","특별시도","차도/보도","강서구-2020-기타-00011"
"일반-200218-40","서초구","서초동","교대역 13출구 엘리베이터 설치공사<BR>(서초구 서초동   서초중앙로 116일원 ~ 서초동   서초중앙로 116일원)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","차도","서초구-2020-기타-00006"
"일반-191230-14","서초구","서초동","교대역 13출구 엘리베이터 설치공사<BR>(서초구 서초동   서초중앙로 116일원 ~ 서초동   서초중앙로 116일원)","2022-01-10 ~ 2022-11-30","서울교통공사","착공계 접수","특별시도","보도","서초구-2020-기타-00002"
